log2fc,sem,stat
AAAS,0.19843164592908025,0.6847708320463392,0.2897781807325172
AARS1,0.01996465026845584,0.14769521774379404,0.13517465611573418
AARS2,0.15652623211897776,0.5009042723660462,0.3124873169470453
AARSD1,-0.5998073910878823,0.19876839025076343,-3.0176196040586416
AASDHPPT,-0.16991699135769878,0.2792203220251551,-0.6085409189607297
ABCA1,0.23860879139287405,0.5405144338359683,0.44144758484892827
ABCB7,0.015342808780523853,0.2860019184999023,0.053645824688861636
ABCC10,-0.2720657571212577,0.32044739039464665,-0.849018482522811
ABCC9,0.006544207944532587,0.6182941218316353,0.010584295909438726
ABCD3,0.46796411377467706,0.27995978063519233,1.671540507400482
ABCD4,0.4892204260437829,0.5297686181032111,0.9234605624534588
ABCE1,-0.0052424283615586376,0.23107181302597934,-0.022687442024654184
ABCF1,-0.055743041467955834,0.13987445026466624,-0.39852196997007333
ABHD11,-0.1874046169998138,0.25913778322101694,-0.7231852286085878
ABHD14B,-0.9186642685013169,0.6650543554575892,-1.3813371207368936
ABI1,-0.8313479903276573,0.5392458245144698,-1.541686467533045
ABRACL,0.1411858550519831,0.5410327035956998,0.26095623076694413
ACAA1,-0.09337689156911111,0.3813264271182861,-0.2448739057367926
ACAA2,0.11062011046914932,0.22059209529853635,0.5014690590768567
ACACA,-0.007725823293483813,0.12270161664865177,-0.06296431542223453
ACACB,-0.015226088741982835,0.21448498408360958,-0.07098906623713792
ACAD8,1.1657469804334966,0.38544683212750885,3.0244041026334294
ACAD9,0.07951377307017182,0.12529666985716312,0.6346040414387444
ACADM,0.4756106488124061,0.2778401836588358,1.7118137576399521
ACADS,0.45425393946821657,0.4281404933540738,1.0609927033754007
ACADVL,-0.06321470708606469,0.2994519300428101,-0.2111013513154763
ACAP2,-0.4036373921427412,0.36610955480408663,-1.1025043920493596
ACAT1,0.29844445447318435,0.1724696942520689,1.7304167886852058
ACAT2,-0.033741984195930996,0.12287688107096818,-0.2745999402153049
ACBD7,-0.8585087780232499,1.5913259831790767,-0.53949271682736
ACIN1,-0.43696306374761207,0.36936113953167915,-1.1830239215247356
ACLY,-0.3355833375987167,0.15359470648033696,-2.1848626511205826
ACO1,-0.20583541119374615,0.26397884697980817,-0.7797420647476749
ACO2,0.3761854057999656,0.2268752232715668,1.6581158593491558
ACOT1,-0.4299204834836985,0.5713004228082419,-0.7525296084508626
ACOT13,0.19561972868906707,0.24082946807590688,0.8122748858433296
ACOT2,-0.3181173501817689,0.16517957434946465,-1.9258879400472309
ACOT7,-0.16978453508813018,0.27708917073632433,-0.6127433080006425
ACOT9,0.1637944333635346,0.14883354689914918,1.100520929428115
ACP1,0.21864181281066308,0.18273228342807332,1.196514423772986
ACP2,0.5197498357792831,0.5438114631564922,0.9557537326676674
ACP6,0.7300469910122303,0.45812080679353967,1.593568727257653
ACSF2,0.13010399194712363,0.34766554335722716,0.37422170368330543
ACSL1,0.16749808982311976,0.41673029208495516,0.4019340398441047
ACSL3,-0.32833386248960394,0.3085596626981566,-1.0640854984690307
ACSL4,-0.2535251368267808,0.24924868443232837,-1.0171573719804867
ACTA1,-0.08257518589006807,0.22266800200095752,-0.3708444192610709
ACTA2,-0.08257518589006807,0.22266800200095752,-0.3708444192610709
ACTB,0.052319114608810224,0.3414260407162178,0.15323703634045938
ACTBL2,0.1943196715918134,0.23538531775362329,0.8255386251202248
ACTC1,-0.08257518589006807,0.22266800200095752,-0.3708444192610709
ACTG1,0.052319114608810224,0.3414260407162178,0.15323703634045938
ACTG2,-0.08257518589006807,0.22266800200095752,-0.3708444192610709
ACTL6A,-0.2620205835470415,0.19024121222189075,-1.3773071590893238
ACTL6B,-0.3526824390047949,0.3829164267527068,-0.9210428552143638
ACTN1,0.39160996116940083,0.3645250740994163,1.074301849157838
ACTN2,-0.12695243933245948,0.16340405869385827,-0.7769234151662546
ACTN3,0.24173102492573406,0.11776029925646504,2.0527378620130587
ACTN4,-0.04694304252783965,0.06616651210801616,-0.7094682949466281
ACTR10,0.302355487944979,1.3541323223693624,0.2232835616950191
ACTR1A,0.2587360909115439,0.10906646435730448,2.372279072547158
