log2fc,sem,stat
AAAS,-0.3781688614978407,0.4673891159381657,-0.8091092595058876
AAGAB,0.8402195427460448,1.310989336886816,0.6409049403416963
AAMP,0.05283508816543048,0.18123797942584657,0.2915232686482688
AARS1,-0.019808405711355448,0.1579326663262136,-0.12542310702486795
AARS2,0.2842264712946161,0.39716661768514266,0.7156353495951141
AARSD1,-0.017958256968526598,0.2927677959301582,-0.06133959136957353
AASDHPPT,0.6105660075189618,0.5873571714024346,1.0395140082500591
ABCA1,0.34521743456982534,0.08913295832729468,3.873061559363854
ABCB7,-0.18611644522239956,0.15924686054379417,-1.1687291327869918
ABCC1,0.1477737519468505,0.16108712583092466,0.9173529615392869
ABCC10,0.23266292917415043,0.3790936540713087,0.6137346976807632
ABCD3,-0.2824641159550616,0.20775777158640774,-1.3595838740385364
ABCD4,0.08971918866010853,0.6155071401103254,0.14576465943843803
ABCE1,-0.11834202084629197,0.1406081584275175,-0.8416440565736905
ABCF1,0.0958240071416192,0.1987278745375755,0.48218704781397326
ABHD11,-0.1488186647301717,0.23379418097368648,-0.6365370776568696
ABHD14B,-0.4645712196593692,0.45212127268021535,-1.0275367423110828
ABI1,-0.05661432819274026,0.35320933533851895,-0.1602854809555942
ABRACL,-0.07599745486913534,0.6536764420189982,-0.1162615783343873
ACAA1,-0.36377675681234933,0.3407937968674993,-1.0674394902609856
ACAA2,0.0921572940048101,0.16300887836600225,0.5653513779653782
ACACA,0.01532740632217866,0.09508085775719141,0.16120391300339712
ACACB,0.4083190422732663,0.1982605034165257,2.059507744794879
ACAD8,0.07807912002148854,0.1978269391918766,0.3946839613474377
ACAD9,-0.3424715097891138,0.23679972706221739,-1.4462495968128033
ACADM,0.25386332874560935,0.49474159887989233,0.5131230713575783
ACADS,-0.5137811427469323,0.3247394683817425,-1.5821333492575802
ACADVL,-0.1974053290283031,0.4217727295851948,-0.46803720388097964
ACAP2,0.20841778869480265,0.3956143391850722,0.5268206130347131
ACAT1,-0.11221316600849462,0.1325176162810901,-0.8467792370372356
ACAT2,-0.2381424679696984,0.1569524152990759,-1.517290877721845
ACIN1,-0.1440427153462025,0.3568043417288679,-0.4037022493847879
ACLY,0.0876881703292014,0.0701278550079793,1.2504042839927736
ACO1,-0.18693616057049667,0.1937469708263164,-0.9648468813382107
ACO2,0.1903769583043875,0.3116658374387938,0.6108367855420616
ACOT1,-0.28178251558321676,0.39768685965085265,-0.7085537496275497
ACOT13,-0.07997687781351814,0.2245006297308085,-0.35624344532759594
ACOT2,0.11843901551306502,0.7300656966364675,0.16223062672131153
ACOT7,-0.009180126110894804,0.25045134447597006,-0.03665432952696968
ACOT9,0.2994028348637592,0.30283506883592237,0.9886663259134536
ACP1,-0.30432548191975783,0.19465114182004964,-1.5634405176061055
ACP2,0.3640390185158857,1.0626835431390915,0.3425657815689329
ACP6,-0.12859085633840195,0.5507390964677299,-0.23348779333652522
ACSF2,0.15808729033332014,0.3689699635742492,0.4284557171047546
ACSL1,-0.20825808077285046,0.2587521048799051,-0.8048556005737983
ACSL3,-0.1342139172456278,0.2850411692038065,-0.47085800840812536
ACSL4,-0.1268376259436792,0.1945868228668009,-0.6518304994912345
ACTA1,-0.039650109752251694,0.29007938310827236,-0.13668710036332454
ACTA2,-0.039650109752251694,0.29007938310827236,-0.13668710036332454
ACTB,-0.013021714230671222,0.27245265492552706,-0.0477944112316711
ACTBL2,-0.17529470837842354,0.13697830259510246,-1.2797260957202943
ACTC1,-0.039650109752251694,0.29007938310827236,-0.13668710036332454
ACTG1,-0.013021714230671222,0.27245265492552706,-0.0477944112316711
ACTG2,-0.039650109752251694,0.29007938310827236,-0.13668710036332454
ACTL6A,0.017069506034186332,0.09778605932166483,0.17455970874167875
ACTL6B,0.25576475981935687,0.29895801791996274,0.8555206567091651
ACTN1,0.16689744844893895,0.4164885046379274,0.4007252219218645
ACTN2,0.10390177919641985,0.3880634609681054,0.26774429867015864
ACTN3,0.04046458669352404,0.07096186532546513,0.5702300314110128
ACTN4,-0.13475624775805883,0.121969876548849,-1.1048322058773987
ACTR10,-0.08789198461561298,0.39988519685862206,-0.21979304386875534
ACTR1A,-0.3071269385099633,0.11589624381230876,-2.650016328461414
ACTR1B,-0.24734779457168798,0.15338651647278662,-1.612578473386034
ACTR2,0.15408430216339042,0.20941554423073025,0.7357825453187139
ACTR3,-0.027406725753753136,0.09414389409664942,-0.2911152764258616
ACTR3B,0.49147877766130676,0.43116037207419977,1.1398978419489967
ACTR5,-0.14826878217614592,0.43391912365741697,-0.3416968142044955
ACY1,-0.2617100711983049,0.3169520026073173,-0.8257088424916705
ADA,-0.34054425266806376,0.19761434885293822,-1.7232769515208228
ADAM10,-0.003355481056654952,0.14890955879115464,-0.022533684767416493
ADAM9,-0.022068239843118675,0.3763947000858372,-0.05863058071244359
ADAP1,0.04900923889793418,0.20429595640372725,0.23989333788419534
ADAR,0.3219964642212503,0.2006345348429002,1.6048905263163107
ADH5,-0.33496140148733744,0.3978983060346436,-0.8418266587397171
ADK,0.22934329632265715,0.5004405632516274,0.4582827875352315
ADPGK,-0.43375693161430817,0.31058035911984166,-1.3966012945684603
