Gene names  (primary ),log2fc,sem,stat
AAAS,-0.039131448975815886,0.3451147885393534,-0.11338676369515742
AAGAB,1.007546903476367,0.7098963961582986,1.419287249419556
AAMP,-0.3800477375492477,1.1494896056759878,-0.33062303101536145
AAR2,-0.43908371285961323,,
AARS1,-0.06313489759724789,0.13715425246770246,-0.46032037987385843
AARS2,0.5425096003571745,0.3901889799464433,1.3903765309610705
AARSD1,0.2472966572014883,0.23347154732768285,1.0592153949037806
AASDH,,,
AASDHPPT,0.23091764167038775,0.24824280805645885,0.9302087882355458
ABCA1,-0.10098360887898394,0.7147466445810617,-0.14128588031102127
ABCB10,,,
ABCB7,0.08453257469490083,0.17467968764750055,0.4839290465499661
ABCC1,0.592304695101916,,
ABCC10,0.007920662066297268,0.3826736478741566,0.0206982166404675
ABCC9,0.3089982403598981,0.3337786839702713,0.925757860521194
ABCD3,0.14761537581408035,0.16152630777993413,0.9138782272866273
ABCD4,0.7516738505000724,0.4154721502246257,1.8092039384437169
ABCE1,-0.13257109235984643,0.07838648366674243,-1.6912493858439688
ABCF1,-0.22490405506901467,0.13236446198335805,-1.6991271803551882
ABCF3,0.13228148773848858,,
ABCG4,-0.037510358065731,,
ABHD10,-0.4941902689208604,,
ABHD11,0.25709857054047447,0.3986426910646273,0.6449348659920472
ABHD14B,1.0681229003006365,0.5778829843807768,1.8483376897576766
ABHD2,,,
ABI1,1.2016980854864308,0.4628184364459239,2.5964784262150675
ABRACL,0.7716771719867914,0.4078260513012038,1.8921723355452393
ACAA1,-0.3084677235097715,0.4061015931769466,-0.7595826480182408
ACAA2,-0.20281352301996236,0.19428877928834043,-1.043876665254922
ACACA,0.13229204581748277,0.10218442577052904,1.294640008200125
ACACB,0.1110448456240718,0.16319619024507948,0.6804377323840126
ACAD8,-0.23698468733931577,,
ACAD9,0.11165787597203547,0.15939670629489466,0.7005030315084483
ACADM,-0.021180571487747102,0.45219338919408597,-0.04683963099393341
ACADS,-0.9341790319640566,1.2986497976616023,-0.7193463808689414
ACADVL,0.3376466987514135,0.3276283282378251,1.0305784623920433
ACAP2,-0.09851571839335449,0.43290586576706264,-0.2275684535223269
ACAT1,-0.3022868438730981,0.16454048315496148,-1.8371578718922894
ACAT2,0.04902786237110135,0.13544803094155855,0.3619680701911074
ACBD7,0.5287407298038431,,
ACIN1,0.5327622795707079,0.22073023013372142,2.41363531967485
ACLY,0.007163119715134059,0.2591985694714996,0.027635645249661323
ACO1,0.1129601568390477,0.2386053324431596,0.47341840889476766
ACO2,0.18561237296293953,0.18666367458120817,0.9943679367684832
ACOT1,0.15993928816589076,0.1487502877272423,1.0752200255179694
ACOT13,0.19456824394562844,0.2707328329160457,0.7186725076893946
ACOT2,-0.28407585819961056,0.2922123466546213,-0.9721555623909772
ACOT7,-0.2168953654140111,0.188150306516286,-1.152777103741986
ACOT9,0.06584139571269887,0.09154645129312215,0.7192129763925159
ACOX1,,,
ACP1,-0.014462775139914896,0.1861815727132406,-0.07768102357901263
ACP2,0.08809610046449734,0.7208989822223376,0.12220311394104173
ACP6,0.18842036939116724,0.448339885667533,0.42026233983315636
ACSF2,0.6690122702086114,0.5263679061159544,1.2709974571687386
ACSL1,0.07041832287080041,0.34774608378766286,0.20249925492704765
ACSL3,-0.0867603947389668,0.2193668868097383,-0.3955036058574145
ACSL4,-0.018585808191890152,0.1261450904167147,-0.14733675429216278
ACSM6,-2.3553467539168746,,
ACSS2,,,
ACTA1,-0.3205456976077059,0.12979087508415396,-2.4697090407925066
ACTA2,-0.3205456976077059,0.12979087508415396,-2.4697090407925066
ACTB,-0.05271010029161971,0.2463817985104317,-0.21393666500647768
ACTBL2,0.28972604280877334,0.1491116838054503,1.9430136888990273
ACTC1,-0.3205456976077059,0.12979087508415396,-2.4697090407925066
ACTG1,-0.05271010029161971,0.2463817985104317,-0.21393666500647768
ACTG2,-0.3205456976077059,0.12979087508415396,-2.4697090407925066
ACTL6A,0.07201289654025089,0.09119781635287516,0.789634000244136
ACTL6B,0.21506432018509258,0.23392646865716551,0.9193671901245316
ACTN1,0.28133113094640194,0.5564806744074486,0.5055541798391628
ACTN2,0.11783490707427191,0.36395460705960886,0.32376264728797016
