ICL103_Mock_0hr_41,ICL103_Mock_0hr_42,ICL103_Mock_0hr_43,ICL103_Mock_0hr_44,ICL103_Mock_0hr_45,ICL103_VN1203_0hr_46,ICL103_VN1203_0hr_47,ICL103_VN1203_0hr_48,ICL103_VN1203_0hr_49,ICL103_VN1203_0hr_50
AGPAT1,11.1759035437367,10.7900533350715,10.9139096425247,10.8811923706125,10.8263014030198,10.3825047688478,9.93425784723925,10.4858762343594,9.97119022791221,10.1554987175979
AGPAT2,12.7709229347027,12.4158866078623,13.0632273475523,12.9345107124592,13.0387976744847,12.9462675242953,12.1450341091468,12.8445216083246,12.6087006476525,12.7717999367046
AGPAT3,11.594475578462,11.9615464025837,11.7351798954367,11.4750201859304,11.2550720740638,11.1921572144225,11.0961298290205,12.3117284044808,12.4440309594678,12.705951955694
AGPAT4,8.26368129965846,8.13521109129877,8.280092313757827,8.229240757750333,8.221762278696353,8.39618373614084,8.275324009094843,8.25461971334233,8.338043375150024,8.367510217557667
AGPAT5,10.7764391416031,10.8221862815126,11.2182256887091,11.2510932530008,11.3186691330413,11.7040597214531,11.74373199006,11.4313564869729,11.9022732918194,11.6843357199131
GPAT4,8.48188241233988,8.15269140674147,8.23775817980691,7.80005298895184,7.92752903440933,7.39102035016771,7.12685961307407,7.54287719587065,7.13789360612968,7.39337127942809
GPAT3,9.59618694350518,9.66860304324909,9.55390196142932,9.60032822721178,9.57991033410903,9.58837097148007,10.1724489752369,9.63020360176789,9.34232925107518,9.60453590070794
ACCS,7.55377009366038,7.54482505900729,7.45543185559937,7.59123607030408,7.52024356110242,7.46311671951902,7.45770022363036,7.29316650137911,7.18054922914204,7.22397473018374
ACCSL,6.53997606908202,6.60623970167112,6.6479904137587,6.48376908109989,6.44017222654674,6.55225889734222,6.42880159026217,6.67787957254657,6.70036538788776,6.59763952178491
SELENOF,15.3693182350322,15.383053621181851,14.84555558479125,14.87224431072175,14.9119823627141,14.7394832491456,15.41530762836005,14.99194460241085,14.62435359607665,14.582179417354
OAS2,9.06486094473317,9.32295835537681,9.65815001735734,9.64661632355372,9.612515920353,10.0558386116432,10.1541983221891,9.7599043633158,10.3124333193103,10.1265147696402
OAS3,8.021461608104135,8.06690281253759,7.89381021133235,7.834470741819935,7.78839382917789,7.39951649525435,7.31397295214156,7.80853351930459,7.089839096529955,7.212193226339755
OASL,9.44072235764424,9.47171779822025,9.73856934411926,9.67195972416211,9.53871512871183,9.57492332458428,8.80467698008472,9.26795788959747,9.46493804907374,9.55178554156763
DECR2,8.72465168953279,8.68762931788671,8.81368466895316,8.843983125104725,8.83801100269132,8.86358774505657,8.55879607870377,8.625778954724025,8.77486487854113,8.785436434580635
ADO,11.4988453882486,11.5411277024656,11.468599464303,11.421612130802,11.4750201859304,11.3726398868883,11.9453815901289,11.5379335459726,11.7018730143089,11.4590129762852
