"","stat"
"AHR",0.949742136953443
"AR",-0.322962076890275
"ARID1A",-0.0340035607067486
"ARID2",-2.20947353887294
"ARNT",0.38448055539395
"ATF3",-0.472075914392156
"ATF7",0.0551681975308205
"BACH1",-0.282723227036492
"BACH2",-0.555482259664217
"BCL11A",0.699548220348541
"BCL3",1.31565428255834
"BCL6",-0.598387943543411
"BHLHE40",-0.920100906064125
"CEBPA",2.02943125857658
"CEBPB",0.683468135171176
"CEBPG",0.488944654919393
"CREB1",-1.31266980657981
"CREB3",1.21572773302589
"CREB3L1",-1.19442008989359
"CREM",2.1418986077047
"CTCF",-1.75950767687609
"CTCFL",1.16924521176099
"CUX1",1.21859224339637
"E2F1",0.164924740999068
"E2F4",-0.23654480689546
"E2F6",-2.3570994861099
"E2F7",1.29536357195144
"EBF1",-0.329543375181605
"EGR1",3.30919026094581
"EHF",-1.12402151554578
"ELF1",0.372168381335415
"ELF3",1.19880671355297
"ESR1",-1.82720540964754
"ESRRA",-0.537667055887255
"ETS1",-0.253481830273689
"FOS",0.591099885059783
"FOXA1",-0.49475299603467
"FOXJ2",-0.965913849598686
"FOXK2",0.899981934448371
"FOXO1",-3.34610227555514
"FOXO3",-0.972347364192675
"FOXP1",-1.71795566160281
"FOXP2",-1.41384771575193
"GABPA",1.05005790667696
"GATA2",-2.73566944568513
"GATA3",1.74052507935652
"GATA6",-0.329197361721957
"GFI1B",3.67451843251962
"GRHL2",1.65156457013136
"HBP1",0.318438271095515
"HIF1A",-0.824585120800301
"HMBOX1",0.433367446202986
"HNF1A",-1.53194781283339
"HNF1B",1.43996978494491
"HNF4A",-0.774738789737788
"HNF4G",-0.352779328487612
"HOXB13",1.16678306246797
"HSF1",-0.401987528834252
"IRF1",-1.17395268166131
"IRF2",-1.64116100372954
"IRF3",-0.27406351506133
"IRF4",1.22105092559703
"JUN",-0.00426646469144718
"JUNB",0.486107768890745
"KLF1",-1.19614779094772
"KLF13",-0.93783382454287
"KLF5",1.32821483471903
"KLF6",2.80254902556164
"KLF9",1.05370037845136
"KMT2A",0.445882056828289
"LYL1",-0.639423653433106
"MAF",1.70845474072252
"MAFB",-1.10580281436907
"MAFF",1.58985011336855
"MAFG",-0.680514017476079
"MAFK",0.0672377288856724
"MAX",1.6342413626115
"MAZ",0.847940437538943
"MBD1",-1.12746595237026
"MEF2A",0.912022729843866
"MEF2B",1.39985469509954
"MEF2C",1.72082484002109
"MEIS1",1.48382345501017
"MEIS2",1.22632593203251
"MIER1",0.541858744826871
"MNT",-0.353769518668396
"MTA1",-1.36995427909592
"MTA2",1.55282467535609
"MXI1",-0.517041359654571
"MYBL2",-1.24184151475244
"MYC",-1.12488218765926
"MYCN",-0.142024300477598
"MYOD1",0.276467177113669
"NANOG",0.299153820694637
"NEUROD1",-1.08520107287396
"NFATC1",-0.223690524357561
"NFE2",-0.34065935330358
"NFE2L1",0.36135835136825
"NFKB1",-0.865265251517967
"NFYB",-1.09709498093777
"NONO",0.964794204072274
"NR2C2",-0.649027420962512
"NR2F1",-1.25890431927501
"NR4A1",0.635547216272971
"NR5A2",1.70932487853275
"NRF1",-0.122634552517541
"ONECUT1",0.414390341490983
"OTX2",0.903770191627156
"PAX5",0.412274013687937
"PBX2",0.271163782515635
"PBX3",0.542676267501158
"PDX1",0.636592322424399
"PKNOX1",1.56460359764308
"POU2F2",0.862226348520152
"POU5F1",0.767233668538756
"PPARA",-1.03382332675878
"PRDM1",0.0310867282505774
"PRDM14",0.41427737211229
"RARA",0.251347997782408
"RBPJ",1.23462419173003
"RELA",-0.563695091999076
"RFX1",-0.728816629851784
"RUNX2",1.0421738349136
"SNAI2",-0.139494199287981
"SOX11",1.51419052531886
"SOX2",0.794172387344267
"SP1",-0.743121821074415
"SP2",-0.522283523900787
"SP3",-1.78095467408382
"SP4",2.32910888881576
"SPI1",0.625865400523637
"SREBF1",0.237482741744416
"SREBF2",-1.12881374337006
"SSRP1",0.376157092400575
"STAT1",0.313629893478168
"STAT2",1.24195054420028
"STAT3",1.02712066786368
"TAF1",1.58438503515205
"TBP",0.134322903333104
"TCF12",0.19666823237402
"TCF25",0.849208898831535
"TCF4",0.717189691530945
"TCF7",0.317019001267767
"TEAD1",1.38568589660117
"TEAD2",1.39176576828092
"TEAD4",1.86351470796115
"TFAP2A",0.376648424436811
"TFAP4",-0.247635212121922
"TFDP1",-0.740193199691024
"TGIF2",1.88483169848652
"THAP1",-0.380106229339636
"THAP11",0.611329666871216
"TP53",-0.220748720906522
"TP73",0.0201430859751713
"USF1",1.69358397105505
"USF2",1.52439294580732
"WT1",-0.0243819078195839
"YY1",-0.743505040785984
"ZBED1",-0.258098810979213
"ZBTB11",1.09600302400191
"ZBTB33",0.50209015734613
"ZBTB7A",-0.890714736093501
"ZEB1",-2.99289337568825
"ZEB2",-2.04977144512017
"ZFX",1.41833026239078
"ZKSCAN1",1.13648268340025
"ZNF143",1.08260140585746
"ZNF263",-1.63576775730163
"ZNF384",0.291555671292974
"ZNF639",0.0532899006169198
"ZNF740",0.954023418415672
