"","stat"
"AHR",-0.998403376804635
"AR",-0.173608422370412
"ARID1A",-1.59413866343039
"ARID2",1.12077915154951
"ARNT",-0.0786859196389081
"ATF3",1.70776640688832
"ATF7",0.523256684362593
"BACH1",-2.03288118056836
"BACH2",-1.39085963855812
"BCL11A",0.888155901587786
"BCL3",-0.361847415521675
"BCL6",0.0456951172818028
"BHLHE40",-1.15252922314091
"CEBPA",0.681129548561579
"CEBPB",0.1417130047508
"CEBPG",0.612708728285402
"CREB1",-0.4200622507317
"CREB3",0.898179635672638
"CREB3L1",0.117617002333632
"CREM",-1.52181938117115
"CTCF",0.266246304518775
"CTCFL",0.447675480578475
"CUX1",0.0062163507104727
"E2F1",-1.45960645562209
"E2F4",0.534610026811824
"E2F6",-0.990337533493951
"E2F7",-0.565258251485308
"EBF1",-0.245208867899199
"EGR1",-2.02369407937565
"ELF1",-0.598172748370815
"ELF3",-0.237158800388395
"ESR1",-0.445428461669581
"ESRRA",-0.466132574661048
"ETS1",-0.438178456581915
"FOS",-1.1500433540413
"FOXJ2",-0.896674827975324
"FOXK2",0.449656173711466
"FOXO1",0.424763103637575
"FOXO3",-0.803248082756115
"FOXP1",-1.31326107400153
"GABPA",2.31131836060241
"GATA2",-1.5437131662317
"GATA3",0.827248726576712
"GATA6",0.477354787764081
"GFI1B",-0.704860276935643
"GRHL2",-0.552520538458073
"HBP1",0.81158918166334
"HIF1A",-0.498023340207863
"HMBOX1",-1.85134947148098
"HNF1A",-2.58961780763408
"HNF1B",-1.22437668689098
"HNF4A",-1.18609395725061
"HNF4G",-1.12116654746609
"HSF1",-2.38640788904534
"IRF1",-1.19977051889249
"IRF2",-0.679678849686069
"IRF3",-1.74834949928872
"IRF4",-1.44301484862363
"JUN",0.561989634359521
"JUNB",-0.92345010021495
"KLF1",0.528293336470523
"KLF13",0.74443455963716
"KLF5",0.647258209443147
"KLF6",0.429256411498069
"KLF9",1.38404123755897
"KMT2A",0.0183782490241145
"LYL1",-2.12409444710819
"MAF",1.34421249067614
"MAFF",1.04101659515425
"MAFG",1.00468326442648
"MAFK",1.39230069479232
"MAX",1.88210019406052
"MAZ",-0.727590459546034
"MBD1",-0.15601701311813
"MEF2A",1.20763179392621
"MEF2B",1.15293608451253
"MEF2C",0.577298636001399
"MEIS2",1.88831894800573
"MIER1",-1.94127471112317
"MNT",-0.199435484566339
"MTA2",2.62112195973907
"MXI1",0.576809606587202
"MYBL2",1.40682075585127
"MYC",0.889929955828677
"MYCN",-1.55781050514637
"MYOD1",0.713819517147257
"NANOG",-0.227463748005062
"NEUROD1",0.914823638832044
"NFATC1",-0.560447000880851
"NFE2",1.16322108283673
"NFE2L1",-0.555834144041274
"NFKB1",-0.891837339183246
"NFYB",0.565117830369528
"NONO",1.46020847015968
"NR2C2",-0.0485613960319839
"NR2F1",-0.538784040738256
"NR2F6",0.595055494593232
"NR4A1",-0.350212709726853
"NR5A2",-0.221784055803743
"NRF1",-0.338286557491073
"ONECUT1",1.01303143994317
"PAX5",0.344051084804855
"PBX2",-0.449567211807566
"PBX3",1.51927506353862
"PKNOX1",-0.819499794430874
"POU2F2",0.103242482260905
"POU5F1",0.0435977212747303
"PPARA",-1.81556227676054
"PRDM1",-0.900879155034509
"PRDM14",-0.890559341252191
"RARA",-0.708518846182429
"RBPJ",-0.555213229924514
"RELA",-1.63490750172043
"RFX1",0.0350975780865154
"RUNX2",0.284363263651323
"SNAI2",0.624120986969718
"SOX11",1.70888838143742
"SOX13",-0.473623541880595
"SOX2",-0.685919602747747
"SP1",-0.4272887590494
"SP2",-0.687401488657209
"SP3",-1.52437821913678
"SP4",0.163640153234683
"SPI1",0.187919416905506
"SREBF1",-0.901326841224278
"SREBF2",-1.7981659614379
"SSRP1",-0.976361752398218
"STAT1",-0.700186212854147
"STAT2",0.004277560839692
"STAT3",0.272969102072197
"TAF1",1.9303648064405
"TBP",1.01171325405197
"TCF12",-1.15842678882945
"TCF25",-0.410421861988344
"TCF4",0.534070060828977
"TCF7",0.990471568802875
"TEAD1",1.6595780281018
"TEAD2",0.0872610999099176
"TEAD4",0.639742321676702
"TFAP2A",-0.105302690565745
"TFDP1",-0.246725272354978
"TGIF2",-1.64257744266168
"THAP1",-0.72394979772178
"THAP11",1.53570286290108
"TP53",-0.796234280179332
"TP73",1.5624383439541
"USF1",0.552137420790562
"USF2",-0.313875785420511
"WT1",-1.53668553370196
"YY1",-1.41528515984775
"ZBED1",-0.0482513755430468
"ZBTB7A",-0.558727980320755
"ZEB1",-0.651371964894126
"ZEB2",0.358179476736343
"ZFX",-0.244689082254559
"ZKSCAN1",1.49443227659687
"ZNF143",1.61343383682483
"ZNF263",-0.891611732678961
"ZNF384",1.02457375690238
"ZNF639",0.191985142533915
"ZNF740",-0.289345255242999
