"","tf","confidence","target","mor"
"1","AHR","C","CYP1A1",1
"2","AHR","C","CYP1A2",1
"3","AHR","C","CYP1B1",1
"4","AHR","C","FOS",1
"5","AHR","C","MYC",1
"6","AHR","C","UGT1A6",1
"7","AHR","C","ASAP1",1
"8","AHR","C","ERG",1
"9","AHR","C","VGLL4",1
"10","AHR","C","ARHGAP15",1
"11","AHR","C","ARID5B",1
"12","AHR","C","CREB5",1
"13","AHR","C","CTNNA1",1
"14","AHR","C","CTNNA2",1
"15","AHR","C","DOCK4",1
"16","AHR","C","EPB41L2",1
"17","AHR","C","FRMD4A",1
"18","AHR","C","GAS7",1
"19","AHR","C","KAZN",1
"20","AHR","C","KDM4C",1
"21","AHR","C","LHFPL2",1
"22","AHR","C","MAP4K4",1
"23","AHR","C","MAST4",1
"24","AHR","C","MID1",1
"25","AHR","C","MYO1B",1
"26","AHR","C","NCOR2",1
"27","AHR","C","NFATC2",1
"28","AHR","C","NRP2",1
"29","AHR","C","PHACTR3",1
"30","AHR","C","PLCB1",1
"31","AHR","C","RAPGEF4",1
"32","AHR","C","RBMS1",1
"33","AHR","C","RUNX1",1
"34","AHR","C","SIPA1L2",1
"35","AHR","C","SLCO3A1",1
"36","AHR","C","SOS1",1
"37","AHR","C","SULF2",1
"38","AHR","C","TRIM37",1
"39","AHR","C","TRIO",1
"40","AHR","C","TRPS1",1
"41","AHR","C","TSHZ2",1
"42","AHR","C","UTRN",1
"43","AHR","C","ZNF217",1
"44","AHR","C","ZNF385D",1
"45","AR","A","ABCE1",1
"46","AR","A","ACAD10",1
"47","AR","A","ACPP",1
"48","AR","A","AHSG",1
"49","AR","A","AKR1B1",1
"50","AR","A","AKR1C3",-1
"51","AR","A","AKT1",1
"52","AR","A","ALPPL2",1
"53","AR","A","ANAPC10",1
"54","AR","A","AP2M1",1
"55","AR","A","APPBP2",1
"56","AR","A","ATF6",1
"57","AR","A","ATM",1
"58","AR","A","ATP2B4",1
"59","AR","A","BANF1",1
"60","AR","A","BRE",1
"61","AR","A","BTD",1
"62","AR","A","C1orf21",1
"63","AR","A","CCNG2",1
"64","AR","A","CD4",1
"65","AR","A","CDC6",1
"66","AR","A","CDH2",1
"67","AR","A","CDKL5",1
"68","AR","A","CDKN1A",1
"69","AR","A","CITED2",1
"70","AR","A","COASY",1
"71","AR","A","CPT2",1
"72","AR","A","CRISP1",1
"73","AR","A","CYCS",1
"74","AR","A","DBI",1
"75","AR","A","DDC",1
"76","AR","A","DDT",1
"77","AR","A","DHRS8",1
"78","AR","A","DHX15",1
"79","AR","A","EGFR",1
"80","AR","A","EIF3S2",1
"81","AR","A","ELF3",1
"82","AR","A","ERBB3",1
"83","AR","A","ESRRA",1
"84","AR","A","EYA2",1
"85","AR","A","FAM119B",1
"86","AR","A","FAM13A1",1
"87","AR","A","FAM174B",1
"88","AR","A","FKBP5",1
"89","AR","A","FOXA1",1
"90","AR","A","FXYD3",1
"91","AR","A","GLRX",1
"92","AR","A","GNL1",1
"93","AR","A","GRB10",1
"94","AR","A","GTF2F1",1
"95","AR","A","HES1",1
"96","AR","A","HIST2H2BE",1
"97","AR","A","HK2",1
"98","AR","A","HLA-E",1
"99","AR","A","HNRPA1",1
"100","AR","A","IFI35",1
"101","AR","A","IGF1R",1
"102","AR","A","IGFBP3",1
"103","AR","A","IGHG1",1
"104","AR","A","IL1R1",1
"105","AR","A","JUN",1
"106","AR","A","KCNH2",1
"107","AR","A","KIAA0247",1
"108","AR","A","KIAA1217",-1
"109","AR","A","KLF5",1
"110","AR","A","KLK2",1
"111","AR","A","KLK3",1
"112","AR","A","KLK4",1
"113","AR","A","KRT18",1
"114","AR","A","KRT8",1
"115","AR","A","LIFR",1
"116","AR","A","LOC440157",1
"117","AR","A","MED1",1
"118","AR","A","MMP13",1
"119","AR","A","MRPS27",1
"120","AR","A","MT2A",1
"121","AR","A","MUC1",-1
"122","AR","A","MYC",1
"123","AR","A","NCOA2",-1
