OMICS_ICL103_Mock_0hr_Protein_1_042,OMICS_ICL103_Mock_0hr_Protein_2_006,OMICS_ICL103_Mock_0hr_Protein_3_094,OMICS_ICL103_Mock_0hr_Protein_4_028,OMICS_ICL103_Mock_0hr_Protein_5_097,OMICS_ICL103_NS1_0hr_Protein_1_021,OMICS_ICL103_NS1_0hr_Protein_1_021.1,OMICS_ICL103_NS1_0hr_Protein_2_078,OMICS_ICL103_NS1_0hr_Protein_3_045,OMICS_ICL103_NS1_0hr_Protein_4_037,OMICS_ICL103_NS1_0hr_Protein_5_036,OMICS_ICL103_VN1203_0hr_Protein_1_040,OMICS_ICL103_VN1203_0hr_Protein_2_089,OMICS_ICL103_VN1203_0hr_Protein_3_035,OMICS_ICL103_VN1203_0hr_Protein_4_022,OMICS_ICL103_VN1203_0hr_Protein_5_104
YWHAB,28.303100167568235,28.44045352915574,28.040720682177177,28.44384142593482,28.794916873274065,28.388688974201315,28.798056071364822,28.696011961923972,28.761066861535525,28.059269550344005,28.443859737521127,28.407424346382783,28.635655272999905,28.455895372627158,27.869747044219025,27.803779550509383
YWHAE,26.99268215450408,26.428455397991954,26.348519392450108,26.42810461423248,26.777514851365734,26.252848804815155,26.68691647076944,27.109806932974877,26.91551989341382,26.398699823544465,26.386069506040496,26.744493682712616,26.653972285331868,26.20870691804811,26.33532709116674,26.680327761102774
YWHAH,25.452103158012143,26.64201619031893,26.12780299981703,26.468027926898408,27.342544480923312,26.126408313040358,26.90874213210423,27.34436096844821,27.065069811010353,26.398699823544465,26.907355106397596,26.67258385094006,27.006410556057418,27.048402519718074,26.350836579053514,26.648779265499726
YWHAG,22.88103058061179,24.00066708597556,23.125034135442387,23.96271393978285,24.365506277854948,24.058968277953202,24.25047748389552,24.40439708606639,24.34803926131127,23.638026669085882,24.23087627859737,23.929556267246948,24.081698070069105,25.19635475679436,24.025406187611107,23.180470661512757
SFN,28.033598843713776,28.566281240180764,28.38707895283372,28.37348402040876,28.883431673984866,28.409942253891206,28.43078774095179,28.75393186293168,28.58457368989098,28.387311778232778,28.171303573718568,28.61261630599247,28.394730511543507,28.76647713084005,28.14998938650856,27.94852702636372
YWHAQ,28.42452507152376,28.415554419896534,28.395342927752026,28.32411848009199,28.960427464049666,28.47644320949939,28.446782036942803,28.621398392874546,28.42246676674067,28.310574482545825,28.234878230411375,28.434940180168887,28.47089710067145,28.581341220835327,28.131017029353195,28.150500535101145
YWHAZ,28.231909468190487,28.345078519198545,28.316240249328573,28.439959049252387,28.870344192739736,28.440763703621474,28.48254516329705,28.67869806438872,28.677630071448114,28.239431773628425,28.328849831426353,28.548487777016845,28.40183209045662,28.531303808040416,28.131017029353195,28.132835313047075
PPP2R5D,20.600225780861212,21.363552251188402,20.674757045522693,21.535777802618128,21.107164417388336,21.234091498416817,21.53987028757868,20.91768071035762,21.25272246390739,20.734511746688874,21.21503817401048,20.703750030031195,22.1445859469222,21.61496261968399,20.96694001553437,21.258997797408856
PPP2R5C,20.806969628629385,21.237639738540942,20.358886283276597,21.562664204516246,20.9370624927248,21.19620907573734,21.671750238303773,21.453069961205323,21.658930143055546,20.56377609834611,21.122053487501525,20.666570293608093,21.754920614168192,22.327780628222364,21.223636072610958,21.00873097234201
PPP2R1A,23.318658567376414,22.432505895817187,22.708303892891713,22.797064867836728,22.536256345430658,22.71221818874375,23.052907743327424,22.362064133996967,23.050572543908558,22.633454886722618,23.353488536493632,22.73324236516647,23.224400426585184,23.17027074552923,23.257255314539474,22.78464413081751
PPP2R1B,22.718459436101153,22.731484054805037,22.187754212801167,22.978746863283796,22.656247285680294,22.8322027445651,23.126743219555923,22.33634790430812,22.87121737335312,22.738236270580494,22.899886319418894,22.728427854176438,22.838997123486248,23.05620769097122,22.731621252468706,22.521345568355073
PPP2R2A,20.631322637065647,20.942261141169134,20.464822689067343,20.679700388451984,20.89849381804653,20.579537256500405,21.06774768065791,21.225738544331836,20.826919597156454,20.564199156867737,21.370246167531114,20.814825446635858,20.998011812064505,21.522186343120985,20.620050442164604,19.243898773348633
PPP2R2B,20.260165841026797,20.794167839743942,20.119907887568573,20.829585600715703,20.975622972130175,20.76058828067473,21.11829851506355,21.231176630416797,20.977347305390953,20.60490024572142,21.414432528723637,21.046659464463215,21.023605891546083,21.627518842616947,20.827071824267506,19.243898773348633
HIBADH,19.853814016553784,21.021906064289723,20.53574955892209,20.535064403519623,21.090679866063592,20.717461026966472,20.761514118949613,20.50543121743138,20.871505256372565,20.891730469904267,20.64634060790488,20.30346418144225,20.57796419066584,21.50872781666179,20.135634047291873,19.944327478680865
SLC3A2,24.368218198463843,24.406132018136063,24.26758975816493,24.658167079411292,24.3921123168335,24.7824436096518,24.284664684839086,24.14376144595997,24.253425885169985,24.370261497886453,24.533207026617674,24.16273724187258,24.001453392480247,24.3169945001869,24.582629634772132,24.28056957635718
PGD,18.825998871606497,19.956514983495147,20.10432748108071,19.52631566139413,20.108459691883724,19.627200620127077,19.738695162419138,20.645092644403093,20.52946610406937,19.109795704794404,20.7577702147959,20.957067989143084,20.645131045716134,19.91563192391981,19.789435795162326,18.842483407010942
PGLS,21.83281894943143,22.350242366375106,22.079208136392168,22.172783912091088,22.4746806996812,21.723223873668825,22.230518568810226,22.56074144345016,22.183574017283796,21.776165482390475,20.730083044651387,22.036464662397748,22.154219957587202,22.557492269479965,20.567443919091875,20.45164526359483
AAAS,17.217247864250627,17.985141402227473,16.611473029935823,18.5943515238884,18.21310022615278,18.270249274255633,18.160103338190062,18.354383852839007,17.835844378055793,17.136012863410624,18.38784510659325,17.025618181867607,17.771654044040964,18.760373719081812,18.27700121565183,16.39487420965555
SERPINA3,22.36957947374188,22.66456886245486,22.516837423875312,22.3820883572879,22.373860194236872,22.668089134784644,22.586149978943414,22.45460961690859,22.23157552850017,22.867467241146873,22.564991507238684,22.12702689665123,22.284693693217847,22.833504351488624,22.836077257154038,22.687680967205104
GOT1,18.649357450855184,19.06519404430933,18.589959646763745,19.061348346475384,19.18396875387349,18.756886199992135,18.6413853858842,19.553935720373474,19.076075955368573,18.25108652995303,18.44497598585313,18.898830940381032,19.02784716248734,18.916391771275535,18.480558600508438,17.843529139315184
GOT2,24.42512368263164,25.224640448339535,25.065872646401072,24.701751995124045,24.561794945394325,24.718588830977577,24.865277819224318,24.15579350110363,24.88201077076812,24.757979436258065,24.31159845463008,23.764822200072643,24.533598395853303,24.864187445557576,24.57925396362623,25.017990376370513
ABCB7,25.127208627392122,25.55822072109996,25.13827361982728,25.54646835076881,25.758395016399888,25.32664595960293,25.20338312126563,25.197089140475967,25.711741585611023,25.221673103659704,25.15894475541246,25.39539015527325,25.396014274625678,25.12126019479489,24.995180528103184,24.67780400944742
