OMICS_ICL103_Mock_18hr_Protein_1_067,OMICS_ICL103_Mock_18hr_Protein_2_098,OMICS_ICL103_Mock_18hr_Protein_3_050,OMICS_ICL103_Mock_18hr_Protein_4_116,OMICS_ICL103_Mock_18hr_Protein_4_116.1,OMICS_ICL103_Mock_18hr_Protein_5_023,OMICS_ICL103_VN1203_18hr_Protein_1_111,OMICS_ICL103_VN1203_18hr_Protein_2_013,OMICS_ICL103_VN1203_18hr_Protein_3_038,OMICS_ICL103_VN1203_18hr_Protein_5_083
YWHAB,28.20472837106292,28.32816808243537,28.297717396957694,28.167841082526998,28.649959698886583,27.792652540495098,28.390666174818172,28.53124262349682,28.36802162044034,28.228680574740427
YWHAE,26.250981578918516,25.86484378387739,25.89023455545285,26.277590114224648,26.459658312481718,26.279126682001777,26.828850570698044,26.530747174365352,26.21051407941285,26.78021152680598
YWHAH,26.247483778115903,26.189420510584743,25.57147999282963,26.464634378780726,26.467198306927827,25.95718076403346,26.828850570698044,26.514767409701633,25.826683608478163,26.293893319352314
YWHAG,23.768245682884558,23.969866106915532,23.780483928237107,23.510895247792963,24.080750413852098,22.98277185458944,23.48866987630545,22.818938597788197,24.31132362317945,24.336101651725947
SFN,28.356672723028133,28.251111416301647,28.34550669697233,28.319175284695767,28.495219258962894,28.50565762130925,28.670733075921877,28.431365674132728,28.78495113546905,28.53870063925323
YWHAQ,28.193485452051398,28.435651169576058,28.39984109878476,28.25466976242519,28.632670787637203,27.97714872966867,28.737146899973418,28.56680879291305,28.70668109899711,28.365909839439063
YWHAZ,28.20472837106292,28.42007999499905,28.41520761543564,28.190164240154616,28.53020530527857,27.899179135326317,28.64724521545643,28.55415056064755,28.41545287507684,28.253019572291784
PPP2R5D,21.05634402936301,21.203136923021972,20.836448286679282,20.283135172110708,21.557705003542505,20.540849518657232,20.555417662250036,21.47133786939746,21.111325697059396,20.7068342733594
PPP2R5C,21.111019891908626,21.203136923021972,20.60456566055488,20.283135172110708,21.46661002173097,20.682696477559112,20.279574068345468,20.84131662202965,21.331672897172623,20.7068342733594
PPP2R1A,23.045758280238626,23.22784183823832,23.259070340310384,22.799389141883747,22.931984041039595,22.653876443764215,23.57668208239787,23.666241024128283,22.92184096621216,22.638287163076953
PPP2R1B,22.982160596841894,22.640971521183232,22.506674544546108,22.427762203288445,22.649065712057066,22.892243598693632,22.407137119082584,21.984329808009882,22.941899179394575,22.598904992826377
PPP2R2A,20.581983797529055,20.374175192358834,20.757348519421857,20.68735976791886,21.100759095202342,20.870059076353414,20.69916049198742,20.33980781434419,20.751478282108106,20.3562897259577
PPP2R2B,20.56131009529238,20.344304245959346,20.757348519421857,20.395306821106267,20.640984769044437,20.634525418196528,20.194857777576647,20.131077499551626,20.631980203899616,20.78067363233075
HIBADH,20.827352991177627,20.58895875638764,20.84736681435888,19.588693780585,20.74940848048277,19.81486592340088,20.731958003557928,19.828213632157084,20.622965663796514,20.43532546317845
MPG,20.298644005200494,20.015370019326088,20.479130470643913,19.976414189667878,20.086576217467474,19.739888445943194,19.979664026479057,19.879184886502838,20.287646687612746,20.120322841378965
SLC3A2,24.541649878845178,24.78301909474164,24.418025833703897,24.237546786939966,24.538766944745962,24.621897367658057,24.329851863956574,24.687350702981163,24.070967934490852,24.222560148547437
PGD,20.304396160831832,20.177732447572982,19.560611008864385,19.877293347911092,19.70238136816369,19.37999199611039,20.80502702622821,20.009080502953555,19.533976323383087,20.57296190599729
PGLS,21.74986482204127,21.75655051196103,22.265581037943207,22.125349303453763,20.893208400371126,20.994624820589838,22.644840118927647,22.73729932368697,22.379913655198244,20.29353720033003
SLC1A5,24.52244847724002,24.141920232620137,24.719988168061665,24.448178287825105,24.789988917601008,24.064634939582056,23.716763430198938,23.78921018798387,24.333342278277478,24.20601758830981
SERPINA3,22.813980928480362,22.865965282075074,22.74317556172914,22.555451372103892,22.929815317518486,23.18916024974246,21.56818218919491,21.044086182621598,21.108899418790934,19.897310192707785
PRKAG1,18.146156789131023,18.330564313173877,17.405069281098005,16.255104172245797,18.326289239639415,16.634848183232855,16.21155552746681,16.287881530521855,18.290995223188922,18.516494208036605
PRKAA1,16.37838778815101,16.40973827362214,16.37158538087625,16.218009244640378,17.612864642009136,16.350110573709756,15.71210689282289,17.460628131030173,16.430379944054486,15.394666791125836
GOT1,18.694579755474933,18.9000598500028,18.594821405091206,18.448949350907796,18.327801750743397,18.58577409027194,19.101708330062905,19.046500831474585,19.23366934094561,18.198783570100147
GOT2,24.54677502122091,24.341150150542468,24.872332192127107,24.844534031057194,25.07519890495292,24.553625736810684,25.03970422592922,24.55562895121907,24.52925001901421,24.307311487143018
ABCB7,25.12860675303554,24.834997032158974,25.489916753543636,24.94097501383615,25.458549742125946,24.004800617594842,25.011018689511936,24.61625453153217,25.16675941808986,25.64675441914833
ABCD3,20.958266481324866,21.035704552636226,20.79990393172429,19.725762123364326,21.13356562702701,20.477552185933735,19.668315782383218,20.339566073487404,21.056774579859837,20.796494433187068
ABCE1,22.993837056238014,23.08602099793041,23.001589439308372,22.540101742799372,23.068905625538154,21.99806287985494,22.644246654293926,22.101872134051515,23.24667697469217,22.86127514627355
ABCF1,21.114907938247846,21.0215095377962,20.589430162961015,21.156004281468874,20.995937463272845,21.458379286824343,20.893529803265057,20.792078754993987,20.754743142166127,20.851185932197016
ABHD11,19.693449354804468,19.668218767558017,19.393014751004635,18.586809110784202,19.064205310329598,19.297331123044405,18.4437475388536,18.767402258667495,19.26134526095828,19.146994006130157
ABHD14B,21.344570377338474,21.756008080410773,22.4629118215081,22.559820195249806,20.374107801682392,21.05132052995833,22.242852835871517,22.1231998084763,21.79451031355808,20.65954047750206
ACACA,22.270117696058424,22.279105074209212,22.246907415969538,22.246696476985463,22.4212987239809,22.50653490007751,21.98197191002938,22.159592207078198,21.965099225518127,21.859200162892655
ACACB,20.432855513083528,20.33194191146078,20.312076022790873,20.688280159741062,20.174812974660398,20.96268056618488,20.525097355798355,20.42843161143857,20.28360537509232,20.060751868931426
ACAD9,22.09871720771961,21.65219047308277,21.891681207334223,20.99856757358032,22.24680757506809,20.794752702584297,21.456953649770735,22.28660580348504,22.067661276443467,21.663730735139502
ACADM,19.20409534770386,17.869717692142444,19.149140098894183,18.332535442142238,19.278944937139144,18.973049545782658,18.218122668323016,18.500639913023186,19.11601983598243,19.425124234445803
ACADVL,21.092425168518513,20.95173157101342,20.86460945101423,20.30510441301246,21.24337162653975,20.194828125969067,20.487415529220364,20.317726138140028,20.916661730327696,20.584236695181033
ACAP2,23.178591725901605,23.18519522685857,23.312393942951246,22.04294244468735,23.621880984233478,21.89171028569527,21.928291936633606,22.14229708527602,22.702332056241875,22.777791579851584
ACIN1,20.872143205357858,20.249306283706865,21.224458956023057,20.008211011089287,21.024586917382358,20.76311883120765,20.537731868643625,19.72985346590275,19.81102122923152,19.897333585281203
ACTL6A,21.983781172607706,22.396165546732213,22.08208576141039,21.98966514327448,22.396229163651725,22.039666735967828,22.447408771920884,21.961669733162857,22.093227108633666,21.628544203197556
ACTL6B,22.552709637805663,22.3836039466231,22.250045641520913,21.695622916386483,21.862053741986262,21.834856092249968,21.680852002853353,21.72976946548365,22.27509184116817,22.375516328933756
ACLY,22.359723882950213,22.08032785171862,22.569101341194138,22.424284057624327,22.413324945264318,22.594763959344,22.002707983975665,22.404141902564206,22.415308885729985,21.976319247648107
ACOT13,23.70495221207164,23.53774967205265,23.84941628151655,23.87253850802712,23.70209229119951,23.33333134699066,23.457716159502976,23.850344219395648,23.862131262044922,23.82109138243107
ACO2,19.673713323795926,19.733471013089698,19.663432211642935,19.488293955787316,19.97500454418516,19.55678839000274,19.51162476886842,19.616822156361284,20.08015962824678,19.793605844485022
ACOT9,19.854299038316256,19.360637272335726,19.562877712906523,19.671960525970924,20.03161412808281,20.041864357515365,19.390733104576814,19.662155818206372,19.580629450220634,19.91600059705315
ACSF2,17.618989904242746,18.37229701154222,18.44607273907053,17.9149381836772,18.826498494871146,16.63717895690099,17.090550700524254,15.954393086231697,17.89202351729366,17.413457020082177
ACSL1,19.235358868257165,19.497256916506537,19.20033287632804,18.579900003726248,19.392337498218946,19.311008874898523,18.40765530961886,18.538007474424507,18.927571125053458,18.604469964210182
ACSL3,22.284928055289466,22.099744403225692,22.14582923614082,21.796504407178297,22.124108008929028,22.02123208966266,21.53360681169821,22.241834485238073,21.413480251282877,21.318653886716106
ACSL4,18.00473627592978,18.793521917349697,18.168161586031765,18.444082546512487,18.121836053873032,18.512845494992803,18.512662279540685,17.53936303231835,18.17086731373131,17.83548821308082
ACTA2,28.240895349908126,28.842177522047006,28.98700314968467,28.732221789587314,28.606057143896393,26.79944984049027,29.57204472118987,28.892902273609728,28.338270563840126,28.163805269883415
ACTBL2,28.160853346459042,28.305783609276695,28.170883689851475,27.699633588689316,29.015684707539016,27.39754351517331,27.976967907570362,28.3421033554682,28.544441988989607,28.50152752498069
POTEKP,32.415115294523176,32.43412017183864,32.24938153431897,32.87840486787792,31.97121350987997,32.62582826092297,33.04416497576211,32.96331431166968,32.27322146216244,32.67615290884777
ACTB,22.97277670547369,23.989790547231244,23.926540411346146,21.32239504703673,24.364345958857864,20.456021290993085,22.805759850255455,22.199678711380813,24.204036635283245,24.011827595909892
ACTN1,20.797290545917924,21.95707280632228,21.72175949215334,19.624851102881173,21.4681799190708,19.833729229863394,20.09670064185445,20.140155155243896,21.732511433355644,21.009692298737708
ACTN2,19.526494521621448,18.996420792637586,18.599222131707776,17.98891288783156,18.395497704318636,19.062905140013125,19.323134103952142,19.964962842760517,18.530834014498183,19.171091540597295
