OMICS_ICL103_Mock_24hr_Protein_1_072,OMICS_ICL103_Mock_24hr_Protein_2_046,OMICS_ICL103_Mock_24hr_Protein_4_001,OMICS_ICL103_Mock_24hr_Protein_5_107,OMICS_ICL103_Mock_24hr_Protein_5_107.1,OMICS_ICL103_VN1203_24hr_Protein_1_117,OMICS_ICL103_VN1203_24hr_Protein_1_117.1,OMICS_ICL103_VN1203_24hr_Protein_2_095,OMICS_ICL103_VN1203_24hr_Protein_3_113
YWHAB,28.278136237232115,28.068001632109812,28.49634660010149,28.67580964321602,28.483598006875162,28.5564081151271,28.41823045654504,28.54416394508891,28.203063300491756
YWHAE,26.4168005351481,26.580654472076738,26.002872891454594,26.997846445288523,26.288422442863293,26.37265389847532,26.22099599956609,26.516800224440615,27.054443206676684
YWHAH,26.522801461416325,26.236513784473154,26.395353601418478,26.181825598950933,26.63077212511421,26.448360652775392,26.137836224137025,26.37570260800655,26.012315388380124
YWHAG,23.859503493830843,23.490940338580902,24.033601024289887,24.004957836807165,24.22325227232825,24.307649183347195,24.51780039905835,24.539718979827846,23.943936865594743
SFN,28.436227006249673,28.2465230309789,28.33992918707075,28.790844305210307,28.428566810319353,28.388393107827802,28.317360215514825,28.512309047659926,28.474042580406433
YWHAQ,28.336116442546814,28.159841786107158,28.484571558031448,28.802841274663166,28.52703193566802,28.393434841113468,28.26724503496157,28.5096909217526,28.247967307706496
YWHAZ,28.391283996732064,28.446269259647565,28.46051830768277,28.819906486848588,28.46439720497943,28.341785400225724,28.586208909712454,28.479258718499782,28.331957731357996
PPP2R5D,21.238569895578955,21.1197379776706,21.175158101905666,21.268609656453584,21.109166122240094,21.44818179576963,21.625610580443116,21.212634667181923,20.620446666505593
PPP2R5E,20.300757812549215,21.1197379776706,21.175158101905666,21.05118698986976,20.870288560926554,21.53023534310728,21.280186401509514,21.404357636271612,19.021153004062853
PPP2R5C,21.655088005731706,20.96657633007302,21.175158101905666,21.05118698986976,21.64490460665951,21.44818179576963,21.52205545683069,21.089907902399325,20.620446666505593
PPP2R1A,22.82161089411074,22.67291291461213,22.92842577609463,22.38966332731528,22.7963692478251,23.9115903556207,23.442138425772033,22.56358357226938,23.71543000666964
PPP2R1B,22.947143795506314,22.612952814856257,23.118093341057868,22.592458669648558,22.92700588470489,22.784191490846602,23.177203361937188,23.1805666243971,21.678243652024957
PPP2R2A,20.671163343555826,20.58007898578846,20.82061086414022,21.252973713845893,20.845287734319164,21.21274896538594,20.77200028878007,20.847191178435754,20.93989042342338
PPP2R2B,20.752473805616397,20.427396916609485,20.999246607723027,20.915047533868247,20.93850000553343,21.190946012799817,20.75592690483745,21.305096631151414,20.350735999675
PPP2R2C,20.536619275036802,20.67952744850898,20.588741514098967,21.537666287365088,20.698841856646446,21.181318311513607,20.734840066264237,20.336052119261637,21.47581124071331
HIBADH,20.370389593431863,19.858778193171368,20.426620080999953,20.59086685232771,20.843433676792607,20.862801943787602,20.89451337921693,20.96395662602657,19.57505540542047
MPG,20.74199481094584,18.474736683146197,19.588874709012856,20.36742611073432,20.831251277603737,20.212165934859065,20.194762579098548,20.84242473959433,19.287300624310706
SLC3A2,24.348504438064516,24.233428261666333,24.74921288895473,24.226785556527876,24.161732495898555,23.97584992214572,24.195887039063983,24.03432073971534,24.084950424231454
PGD,19.554841470568917,20.193671514578412,19.31053278741422,20.367544583730787,20.607816716634034,19.948723137558055,19.945411083511836,20.59813869364023,20.27295089813041
PGLS,20.150246745030458,21.14138531786039,20.79581581332647,22.15483303600636,22.087182025450872,21.2180249786935,20.676390660064634,20.99689102492443,21.215427025802686
SLC1A5,24.22559215917442,24.44405009374642,24.76262974933854,24.83918993442932,24.403082800483723,24.52500065211383,24.000619803614008,24.22527475244795,23.227282789655032
SERPINA3,22.78020575225756,22.99554239992647,22.720292171114927,22.465177882132032,22.606530016971345,20.214866601822756,19.974671619948275,20.125579684586732,20.139247181470054
GOT1,18.777893146494677,17.878149277356655,18.01888801924734,18.978792882464354,19.16877442338061,18.351775229134603,18.63337418084846,18.647363171276027,18.27304910930008
GOT2,24.297570775395247,24.119755530148943,24.494867177684682,24.76466590770803,24.704590525820418,24.941345605522443,24.40787854853196,24.516877950564695,24.52704973252044
ABCB7,25.424539103368616,25.154201687491227,25.196992895615704,24.755271357146825,25.534977281283915,24.84476232870204,25.677948450774082,25.650239303117687,24.74120701245331
ABCD3,21.109969723600294,19.875368716752362,21.096060279370597,20.547491714020033,21.194184732573078,21.422164791504116,21.352894004264165,21.29112094652804,20.86413684585549
ABCE1,23.50690299575607,22.447487554454888,22.98742526875159,23.111393891448117,23.359430760737922,22.739486901669025,23.41246502349614,23.000111268119213,23.157079470188258
ABCF1,20.878433300214322,20.98585293238626,21.274356192796958,21.114647930783438,20.835385535108735,20.90400758044035,21.138397562789958,21.14354499009906,20.662018413830587
ABHD11,19.914678694866204,19.130843076794502,19.44702240033061,19.26413233727877,19.542819680970783,18.8120084573457,19.749046598693482,19.538568606053925,18.990354822100333
ACACA,22.390154077425716,22.230890891640637,22.54159024451618,21.890617225146848,22.173215754085856,22.32857361939705,22.259970716856998,22.284470847645455,22.07725607717876
ACACB,20.62005972791683,20.57126888980767,21.130232885439973,19.88665146530846,20.150124722209462,20.434916936731817,20.498233842770738,20.40848652959096,20.484128488484473
ACAD9,22.198292583820063,21.610499463519538,22.312990420077412,21.980095448117403,22.077941727602685,22.171806829027545,22.08823466639536,22.173921948971774,22.027947362395675
ACADM,19.534089911624147,18.109383486946136,18.964168340867563,18.680927589034336,18.89838711509621,19.057479001354864,19.675925991919144,19.46879337417991,19.049809382650423
ACADVL,21.157485015372977,20.638176443077583,21.0560485918373,20.71299925352808,21.539968580887585,20.6541376941583,21.21246120707611,21.529612537546583,20.434672040637576
ACAP2,22.323422256208353,22.82977025788233,23.88250184061029,22.67617308016693,22.870793531095973,22.170838235519916,23.120591698348058,22.751216465287765,22.00893280504439
ACIN1,20.571290193210785,20.316766179432555,21.28686503351873,20.22248444779529,20.33221397720996,20.346799166801443,20.322601032165302,20.58377327803829,19.182670132938387
ACTL6A,22.463025580298904,22.005250285474002,21.92025434337974,22.532471646762254,22.64924080003979,22.17637980405974,22.129934835130097,22.208484796332545,21.69331235505323
ACTL6B,22.294476741579114,20.92568848297018,22.379797503897308,22.63303093647532,22.41659726807436,22.203661943707537,21.79383730067041,21.976584528653337,21.134859217346563
ACLY,22.432777549438715,22.010018386651637,22.48797392810778,22.68567763732407,22.720714180638517,22.159329750968677,21.913812704020415,22.119736362576685,22.33451717776792
ACOT13,23.702772484909243,23.6166361794901,23.700454480985677,23.520175355868844,23.63865940486526,24.327047476747182,23.28629966404513,23.592867871279427,24.11922222757982
ACO2,20.12706968293585,19.22093810407957,19.39070859275043,19.78106588880417,19.578647112800745,20.067812853392844,20.162673042792626,20.235813516459487,19.517185715651514
ACOT9,20.121479940711662,19.601180816366682,19.899231024074034,20.119197172766775,19.69846102250571,20.3273224624124,19.85203360356101,20.088998814428184,19.938462834192446
APEH,22.24238458193252,20.566849593544333,20.57086032284638,22.776680868341458,22.064411624164663,21.167165020506133,21.184381712885557,21.709380617709087,21.401876742332863
ACSF2,17.79451440008755,17.541280855671005,17.70768269231749,18.071513711343442,18.15214004170289,17.94051309039586,18.5944454499223,18.315524180768392,17.083638607599852
ACSL1,19.801713249692735,17.894483496833473,18.584435818502957,18.300446964322354,19.147273225697386,18.956576782787437,19.426880148299084,19.039481710547065,18.229735921698023
ACSL3,22.39086845215486,22.20507530252496,22.402806330849714,21.89755918479703,22.3350167143336,21.950725505534344,22.576934292189023,21.997418515858303,21.146647024188052
ACSL4,18.368630643384517,19.028945746754893,18.484537768923364,17.96472433826494,18.800430612740872,18.65424899264613,18.135280539079066,18.433239098118495,17.88094611090405
ACTA2,28.88715610671263,29.146775495001624,29.218214008148678,28.60111336454178,28.76463261567188,28.421390307553843,28.86204214583782,28.74137224988964,29.339207825219706
ACTBL2,28.160343833056064,27.904526358226214,28.617485767196335,28.54256185735563,28.308342370969775,28.61452695526716,28.886208254899955,28.54985866614571,27.95329295949761
