OMICS_ICL103_Mock_3hr_Protein_1_079,OMICS_ICL103_Mock_3hr_Protein_2_027,OMICS_ICL103_Mock_3hr_Protein_3_025,OMICS_ICL103_Mock_3hr_Protein_4_007,OMICS_ICL103_Mock_3hr_Protein_5_063,OMICS_ICL103_NS1_3hr_Protein_1_059,OMICS_ICL103_NS1_3hr_Protein_2_044,OMICS_ICL103_NS1_3hr_Protein_3_014,OMICS_ICL103_NS1_3hr_Protein_4_033,OMICS_ICL103_NS1_3hr_Protein_5_081,OMICS_ICL103_VN1203_3hr_Protein_1_085,OMICS_ICL103_VN1203_3hr_Protein_2_058,OMICS_ICL103_VN1203_3hr_Protein_3_076,OMICS_ICL103_VN1203_3hr_Protein_4_087,OMICS_ICL103_VN1203_3hr_Protein_5_008
YWHAB,28.47221866927081,28.48338732218941,28.13358568895088,28.6247043591979,28.328167075584563,28.40694042664371,28.52990207293815,28.4359520621075,28.252094309907395,28.654787544906014,28.250196608626,28.061917112407844,28.418458674362086,28.31678260239876,28.318175330951483
YWHAE,26.779715708442243,26.705312853789337,26.854004360852297,26.538627819106452,26.218762986875323,26.50257480207572,26.676210017929748,26.48374449569109,26.395388165341714,26.71462549916662,26.295940856273067,26.291414980955214,26.128445403569685,25.8745190060105,26.284492481264326
YWHAH,26.531350370998666,26.705312853789337,26.426966058250315,26.538627819106452,26.646465290109855,26.681657282232653,26.714948701327362,26.47852761499904,26.139757891191685,26.434742218483734,26.295940856273067,26.156108985333482,26.13719596925599,25.96055678815347,26.202970431563404
YWHAG,24.096064791659135,24.151828342383165,23.16792586083824,24.221344197272042,24.528521194761638,24.024734202419783,24.283689979819954,24.13000007326296,24.019443288880165,24.191121765223986,24.44969696037283,23.95420763675993,24.181634408611856,24.00918857625844,24.266807415719455
SFN,28.286287379538106,27.97299983443386,27.986841977511745,28.167134656061897,28.19447446144668,28.0493120156399,28.345774033688823,28.277864506332154,28.32208835101197,28.46438422877023,28.005848506114326,28.02766608174187,28.09859759555642,28.546200328934844,28.410955240187455
YWHAQ,28.377783491888227,28.449593422016797,28.16312220822251,28.48304255319144,28.345758195538288,28.342260645959172,28.36019493425092,28.381055228701772,28.223711626755797,28.450240440700483,28.26766387567386,28.157936572886886,28.34877728546409,28.401343516389154,28.4875990149307
YWHAZ,28.364024756513878,28.297078217355363,28.16312220822251,28.4428442363648,28.35364171715264,28.364592400603243,28.345774033688823,28.364847782490862,28.319911906659797,28.53341331818524,28.250688292163716,28.226982526251792,28.3190845379695,28.44156405798467,28.378035531354822
PPP2R5D,21.864481737014074,20.833525292418212,21.882469398017335,21.722147252259624,21.284213648943513,20.860545839338844,20.96629597490881,20.543074080438227,21.55493036059171,21.37882376610721,21.745274375106753,21.602368030507286,21.581557731843944,21.456699062191376,21.80139798635667
PPP2R5E,22.044085316440412,20.799691417290173,20.77212840343065,21.734772176092896,21.632037545388737,20.289537577865445,20.63652242783125,20.15341295670099,21.26012152902158,20.69552683906231,21.345471292411375,21.602368030507286,21.692135741712057,21.577285247580043,21.50970132739833
PPP2R5C,21.516689519092342,20.813066227403333,21.39019482584895,21.380275543711555,21.30369914523782,21.234416258186833,21.17396234661823,20.538263513658954,21.120341749059058,21.411795793628087,21.579680564947623,21.32407993892397,21.60631322074707,21.04279816682807,21.80139798635667
