OMICS_ICL103_Mock_7hr_Protein_1_052,OMICS_ICL103_Mock_7hr_Protein_2_061,OMICS_ICL103_Mock_7hr_Protein_3_012,OMICS_ICL103_Mock_7hr_Protein_4_086,OMICS_ICL103_Mock_7hr_Protein_5_026,OMICS_ICL103_VN1203_7hr_Protein_1_055,OMICS_ICL103_VN1203_7hr_Protein_2_060,OMICS_ICL103_VN1203_7hr_Protein_4_004,OMICS_ICL103_VN1203_7hr_Protein_4_004.1,OMICS_ICL103_VN1203_7hr_Protein_5_075
YWHAB,28.254436803412972,28.194587857771424,28.327099433870593,27.725211323205762,28.57411893989349,28.375232812519833,28.34402469318868,28.486700619320338,28.69021141705051,28.73012405254634
YWHAE,26.09948909172356,26.231227796179876,26.52921001200558,25.829554805115492,27.101750820336303,26.652217434561376,26.589695178496477,26.51110425635712,26.773514055309786,27.086770956644656
YWHAH,25.941296934523614,26.139426999689135,26.387066978818183,26.10385252320758,27.04227126823144,26.652217434561376,26.66798269778641,26.51906372277547,26.73521896926224,27.1770242856804
YWHAG,22.487124635120516,24.46148868778265,21.898345356846274,22.25500587436034,23.269726213740686,25.63080388875546,23.88563339901114,24.47892239300485,24.433230049323402,24.206362049128707
SFN,28.29312080830589,28.38691025742891,28.477092490415345,28.28780753405578,28.348269001251225,28.789941913687176,28.44118901663685,28.475106763390936,28.599628364635986,28.162942533248387
YWHAQ,28.27020957928996,28.33750101615959,28.45364163854392,28.304543471366706,28.50953314954453,28.357960159891846,28.270309784333573,28.741608043818175,28.494680430536654,28.40075647434184
YWHAZ,28.412209093019406,28.194587857771424,28.446492963615384,28.54236793858858,28.546901679955614,28.556205796917073,28.54635840385667,28.635811379283037,28.539908288118923,28.322960949769268
PPP2R5D,20.54559499299946,21.95918885196984,20.701062248877566,21.891812914342832,21.65510376768881,22.223489946492283,21.07239870405984,21.60099599982621,21.4595120139585,21.937548117512925
PPP2R5E,20.913089662306106,22.039865084469234,20.701062248877566,21.891812914342832,21.65510376768881,23.01510572370084,19.890194594470714,21.60099599982621,21.4595120139585,21.939861312166897
PPP2R5C,20.54559499299946,21.814932808536454,20.6679345968355,22.269884983829783,21.40604483347664,22.517132283749795,21.07239870405984,21.60099599982621,21.4595120139585,21.939861312166897
PPP2R1A,22.655840116837048,22.377186708334172,22.736972278797776,22.84024953846021,22.692540312665063,23.08947913247795,23.080916429401842,23.347028440725694,22.993682391626482,23.378980444559996
PPP2R1B,22.809272795450582,22.953047996983724,21.990782583979655,22.62885586856102,22.51500420633591,22.8083104433468,22.765689271811677,23.02867132433823,22.77610606018731,23.042760732146082
PPP2R2A,20.126179077076003,20.690370225059148,20.28182489987034,20.386566657507046,20.21614311149878,21.791931176361423,20.423641875596715,21.293073697125816,20.947643560379092,20.995725991722963
PPP2R2B,19.883381672092018,20.881375256192538,19.91046248367858,19.980473609267985,19.637004519568418,22.00995059584184,20.30669434488419,21.125221017680246,21.073155837543993,20.97737558809905
PPP2R2C,20.31574287560154,20.446131587467306,20.599953709603646,20.739426099287652,20.742048096970684,21.520678150422558,20.48735579985079,21.407692770112934,20.768897676755735,20.96084278888842
HIBADH,20.81862415077004,21.195408358917355,19.65443915654427,20.596369089141362,19.542652304787378,21.14724175133191,19.749421167078104,21.294759991639967,20.76383384968808,20.71889192239113
MPG,20.715502235725822,20.632618744470324,19.69388852454149,20.376722201459376,19.74528239596784,19.931402881890644,19.910367071581284,20.723198757676382,19.904085912338697,19.7191666509015
SLC3A2,24.746538810739047,24.811021110820818,24.19519891736323,25.204244495775797,24.390852197236114,24.186916255835882,24.123039981818096,24.308506966406753,24.319928539149373,23.920939514393023
PGD,20.247464096607317,19.975186491431387,21.05995366012529,19.363032492118815,20.552612971762404,19.603445099570855,19.821983792855427,20.046256541454774,20.033251169346833,20.364886401477598
PGLS,22.124181272077465,21.90917670915062,21.948760051212233,22.280030183891768,22.043964305297372,21.485257896854485,22.149862512473376,22.288633290420037,21.887947906950355,22.164220675956898
AAAS,17.038219830218935,18.02209143379079,17.607952211092858,17.274007859992658,15.575184679602245,18.119757453580974,17.05508989537188,17.718739763257773,17.874610126483184,18.688605391597047
SLC1A5,25.242456701299417,24.23922568714616,23.996095728209706,24.609261637039204,24.6676640579766,24.36191095623745,24.317022599923042,24.586069997107,24.805102360368394,24.455064302687795
SERPINA3,22.895560125232834,23.113967179994503,23.236039069959205,23.078638720668636,22.87529643629806,23.2618739735983,22.878890518105273,22.898016171903855,22.338728536860444,21.733546465262314
PRKAA1,17.47060206256004,16.92565797075962,16.607606877124965,16.047539919718115,16.309487485516186,16.502114529549278,16.916487898641396,17.060376789333834,15.718074225719283,16.79828673486011
AARSD1,20.345566881733145,19.79796313785988,19.12402020637757,19.96891120943458,19.993466642807196,19.758163810701916,20.189137536334528,20.264777946440567,20.59989594922034,20.084575980683297
GOT1,19.03322570824338,18.906102966839295,18.767699131334112,18.8654202423169,18.7898617502194,18.261547787183073,19.086208325431663,19.09734351481064,18.86897923550849,18.560948697613
GOT2,24.908237989430706,24.282070329422524,24.1739051055403,24.60884523237069,23.331810012650806,24.76175692810502,24.41943385917364,24.6676557519293,24.488750384612253,24.255445391601537
ABCB7,24.35925007139776,25.467292414336825,24.394523171449087,24.84750381460248,25.24524188636853,25.179690321350094,25.121798117359685,25.776877726249722,25.371720418719914,25.530267104249397
ABCD3,20.726844855020197,21.048464691512606,20.378024356159514,20.679790552417813,19.916129477266743,22.512743513707193,20.03001891910783,20.99764695973778,20.845996202040745,21.299672541346755
ABCE1,22.989538488565906,23.362036082907785,22.60741185300905,22.75048084653169,22.601539330055125,23.228637407296212,22.86142807980672,22.82398708743166,22.671626398120587,23.112987914910338
ABCF1,21.16566851904972,21.112477365983793,21.10277108400156,21.355482181564675,20.477730402551074,22.369025132705758,20.7759667661678,20.64878909531091,21.056116431311715,20.94938814929666
ABHD14B,22.09949819643753,21.93439401574568,21.965267567391876,21.692435680541905,21.70567637571623,21.721935444612647,21.88436304248868,22.29834930481602,22.17251616711351,21.771369825786923
ABI1,21.302992025627265,21.31922231599524,21.94644812182489,21.569076273338517,21.715853338835814,21.51581154834044,20.802173128651567,21.84651339396337,21.66743266058672,21.154472702704936
ACACA,22.25883486759915,22.226540825256606,22.048690904646147,22.182689040248817,22.25386640531792,22.325159088748123,22.04784726531637,22.197695080505653,22.265796233027725,22.34514170262259
ACACB,20.423096723271772,20.553339762026056,20.425694129971916,20.709910418824236,20.33760126847601,19.533589658356956,20.71453880294424,20.00904641851087,20.304779317033148,20.44345899125512
ACAD9,21.8156082101459,22.01758810121123,21.50709385720301,21.700626614564815,22.024993529075065,21.74480431697085,21.5799007236897,22.271530349858907,21.667478666636462,22.29632913231781
ACADM,18.877105882899826,19.242490540609932,17.70843236625198,18.41789171662066,17.742630078824575,19.260136742112888,18.673709319513478,18.869219663555114,19.38125256550735,18.66446090659131
ACADVL,21.03498510275035,21.25826045623663,19.06066192196153,19.97894068361237,20.26963840457573,22.276859584079716,20.026770970272555,21.423848173018424,20.970722611685268,21.323951441123132
ACAP2,23.50636369941648,23.613454401019034,21.947019028053134,23.016715661004234,22.445003864850875,22.538576476720923,22.56904391910724,23.08054837448116,23.01240728938703,21.881325651760786
ACIN1,20.099737229835092,19.995723501993773,19.883248829535262,20.806474749130047,19.639069200596822,21.609201764741663,19.844588398108755,21.030630876078824,20.476572047698557,20.88018283408511
ACTL6A,22.200159630220913,22.33667065390246,22.57779855984775,22.56208320213559,21.88457179486253,22.054347841503493,22.07183868823245,22.45077047650311,22.312231712656256,22.432134488271444
ACTL6B,22.360489549333995,22.319529873838807,22.654285005812874,22.62729379853251,21.673119802055105,21.61140567419326,21.965349587097954,21.998811284380345,22.97321935908714,21.501073423302593
ACLY,22.50351473042234,22.578193305698917,22.752847202838588,22.558172718923156,22.40138249643581,22.45875004391189,22.24246562921095,22.716876361129547,21.722471541732737,22.378268756041592
ACOT13,23.37178567277708,23.529177100448205,23.330583645440825,23.68408284467791,23.29149178669931,23.893723388060653,23.56706376899287,23.689932885867016,23.46557810636545,24.45297014074317
ACO1,21.987782215812523,21.59795935119098,22.499815517582128,22.075705999973074,22.065728385031363,21.81745897550084,22.186386513052188,21.91976844285268,22.587129779827144,22.12330159660511
ACO2,19.875690005068872,19.851309725811905,20.242746327348847,19.522758100866305,19.301724997904785,20.57284372665024,19.959289426119618,19.817575606855325,19.58070687305077,19.83834039326468
ACOT9,19.702274832945115,19.713367764179207,19.413159341782155,19.8705350446936,18.914594380380365,20.229426804305163,19.790405999788767,19.87111790272668,20.229853557433444,20.174048207322876
APEH,21.135825093171764,21.635179735034598,21.659632457738425,22.01554122331854,22.07718879105087,22.676135476940164,21.691017302957306,22.20890476682748,22.358072582940835,20.367330441926917
ACSF2,17.61708735831338,18.798078304040715,16.826110652315435,17.671956483043722,16.85748248370932,18.855770330600805,17.36446304564447,18.188462041290705,18.2732348745992,17.638477784959775
ACSL3,21.471147380911056,22.578761815898847,21.978219673857286,22.63637579567981,22.50565642627807,22.270567711100444,22.42598614682012,21.346885359469013,22.543966998405594,22.172527536169135
ACSL4,18.904122353835117,18.366536153400165,18.848455815493455,18.075114794842726,17.942291693272267,18.625428359976002,18.919775532800703,18.282946610435133,18.438651073643765,18.064709668344374
ACTA2,28.986859194120363,28.94767874912439,29.31920246197329,28.510074883369402,29.851732869865728,28.883074028114013,28.609173537075296,28.378719272103464,29.20106806322749,29.059658303098118
ACTBL2,28.294342358417097,28.43328526352883,28.342873471664674,28.434376885046113,28.630137921541426,28.61359828661203,28.3464055836834,29.090549312515844,28.81977186976905,28.41067827096199
POTEKP,32.45349538704686,32.53166684794612,32.81616718538474,32.5934853616953,32.57184710020056,32.15713434222678,32.612509699726346,31.864598171306312,32.23345260965722,32.18776204508083
ACTB,24.467360131288533,24.402193223678395,23.887928160873308,23.659973824757376,24.170631986867633,24.111169440409274,23.768907773255794,24.149799599971622,24.954865153499973,23.55170719308415
ACTN1,21.47770011692515,21.2319142451608,20.397216248487403,21.154040739444177,21.521067416984177,20.96957627018937,19.3577534797065,21.800788631193143,21.556859311585708,21.012614167025674
ACTN2,19.388003259585957,18.657491073205485,19.29937953101467,19.98665940554495,19.857968634582807,18.369205016934014,19.646036107539075,18.248306306297575,20.198723917897706,18.45229958742383
ACTN3,27.48152489070295,27.659713088635357,27.454005908112535,27.328863751963873,27.182340433555627,27.577099752463504,27.33333827732949,27.35553124951565,27.31906916951405,27.19703843089355
ACTN4,26.028212949248307,25.7942894506198,26.079879278925024,25.735556376596463,26.311474640144795,25.95621005432356,25.883397101031797,25.962415565841408,26.225047723990908,25.827252751888494
ACTR1B,21.86851666148367,22.653621862753376,22.814041655391513,21.77872866584685,21.59010251939155,22.743175740275177,21.56513454963801,22.37058550137734,22.549474928147,22.291926223628042
ACTR1A,21.964581329553035,22.502565938479385,22.668907484837405,22.039784063324934,21.679226660599213,22.799668020191874,22.61116408160184,22.37058550137734,22.578508465371804,22.27503450152887
ACY1,17.16465146140801,19.271566289676134,18.13493899801849,17.514790041262657,17.802293185257334,19.284340792605327,18.345953083590523,19.037158895459804,18.147872354761006,18.8574847629898
ADAM10,21.50496678340557,21.1986054346377,21.425593607115744,22.020346195305756,21.70260479293035,20.65227860084984,21.356718256842743,21.45531506695763,21.45557483394188,21.46693658855741
AGPS,20.816967871879825,20.59616674306055,20.425758586051487,20.527041328260797,20.425059478596143,20.128518270429304,20.741381294396547,20.177990487665202,20.644848873255512,20.754975770914307
ADH5,22.568170966207365,23.055362654332864,22.83654515046491,22.865106033632806,22.153318665731035,23.808529175999308,22.794768992270825,23.369139557696926,22.58851287142805,22.54995731658895
ADK,22.906764634845466,22.24491763842435,23.097037682087816,22.779301043104592,22.295782932403288,23.350695879896826,22.116371487453122,23.14188202392008,23.041647673602764,22.571595398371358
ADRM1,20.45559948191991,20.487295929240652,20.163729460930497,19.979439815243467,20.11293317664429,19.050905931891652,20.913615288606056,20.77801586287496,19.93140635048638,20.42412095555056
SLC25A4,26.29443475316162,26.03837221264226,25.87831656295382,26.503235396629943,26.3369166141823,26.320993054679967,26.32108608977579,26.30884770611062,26.391969896903888,26.244128771219497
SLC25A5,25.94926100281071,25.793578934425895,23.820350427282058,24.788282228097884,26.465477668808987,25.456305582654714,24.155361523152067,25.980376432813802,25.994332711016646,26.029954838025365
SLC25A6,26.336586775344472,26.12565883540859,26.024758928117638,26.679394554000858,26.3369166141823,26.259161652829526,26.263789674145002,26.30884770611062,26.391969896903888,26.25236961164785
SLC25A31,26.29443475316162,26.281586868226803,26.093235796330873,26.799976961866463,26.261840489998505,26.334219274797015,26.38487919176751,26.14541833885297,26.596802767318216,26.23231256107622
AFDN,17.79317538419746,17.27516586465213,16.081077865741207,18.133279177878848,17.699841107256184,16.28456832181635,16.810189824828317,16.85578103825746,17.465014471819547,17.978691567407587
PGM3,18.6769393831163,19.763493477154,19.180706539088728,19.882296681898552,18.56199005372946,19.941827841239522,18.837519736885007,19.60232381442309,19.415418544017257,19.986899229468865
AHNAK,23.596901619071218,23.475652728410758,23.87702706172834,23.277320215241225,24.20396016337126,23.211225316841357,24.093225381780762,23.672134457892952,23.26948169424152,23.84489349212279
AHSA1,22.797748182566714,22.611180162599023,22.8084415629378,22.635147845973943,23.170737290310633,22.653765079076855,23.310377248912516,21.89049657226691,23.027835743028902,22.794012930855015
AIFM1,21.155517152431514,21.339431758358103,20.990838324838265,21.45245413896174,20.941094596847105,21.363836323613313,21.2912428523731,21.011399746384285,21.199354629262224,21.425455927475113
