OMICS_ICL103_NS1_0hr_Protein_1_021,OMICS_ICL103_NS1_0hr_Protein_1_021.1,OMICS_ICL103_NS1_0hr_Protein_2_078,OMICS_ICL103_NS1_0hr_Protein_3_045,OMICS_ICL103_NS1_0hr_Protein_4_037,OMICS_ICL103_NS1_0hr_Protein_5_036,OMICS_ICL103_VN1203_0hr_Protein_1_040,OMICS_ICL103_VN1203_0hr_Protein_2_089,OMICS_ICL103_VN1203_0hr_Protein_3_035,OMICS_ICL103_VN1203_0hr_Protein_4_022,OMICS_ICL103_VN1203_0hr_Protein_5_104
YWHAB,28.388688974201315,28.798056071364822,28.696011961923972,28.761066861535525,28.059269550344005,28.443859737521127,28.407424346382783,28.635655272999905,28.455895372627158,27.869747044219025,27.803779550509383
YWHAE,26.252848804815155,26.68691647076944,27.109806932974877,26.91551989341382,26.398699823544465,26.386069506040496,26.744493682712616,26.653972285331868,26.20870691804811,26.33532709116674,26.680327761102774
YWHAH,26.126408313040358,26.90874213210423,27.34436096844821,27.065069811010353,26.398699823544465,26.907355106397596,26.67258385094006,27.006410556057418,27.048402519718074,26.350836579053514,26.648779265499726
YWHAG,24.058968277953202,24.25047748389552,24.40439708606639,24.34803926131127,23.638026669085882,24.23087627859737,23.929556267246948,24.081698070069105,25.19635475679436,24.025406187611107,23.180470661512757
SFN,28.409942253891206,28.43078774095179,28.75393186293168,28.58457368989098,28.387311778232778,28.171303573718568,28.61261630599247,28.394730511543507,28.76647713084005,28.14998938650856,27.94852702636372
YWHAQ,28.47644320949939,28.446782036942803,28.621398392874546,28.42246676674067,28.310574482545825,28.234878230411375,28.434940180168887,28.47089710067145,28.581341220835327,28.131017029353195,28.150500535101145
YWHAZ,28.440763703621474,28.48254516329705,28.67869806438872,28.677630071448114,28.239431773628425,28.328849831426353,28.548487777016845,28.40183209045662,28.531303808040416,28.131017029353195,28.132835313047075
PPP2R5D,21.234091498416817,21.53987028757868,20.91768071035762,21.25272246390739,20.734511746688874,21.21503817401048,20.703750030031195,22.1445859469222,21.61496261968399,20.96694001553437,21.258997797408856
PPP2R5E,21.19620907573734,21.295671753300645,21.306109126799186,21.095823333431497,20.445613607588268,21.333005532700042,20.363666908408167,21.125146024257294,22.081531319824517,19.68946840605594,21.258997797408856
PPP2R5C,21.19620907573734,21.671750238303773,21.453069961205323,21.658930143055546,20.56377609834611,21.122053487501525,20.666570293608093,21.754920614168192,22.327780628222364,21.223636072610958,21.00873097234201
