OMICS_ICL103_NS1_12hr_Protein_1_120,OMICS_ICL103_NS1_12hr_Protein_2_024,OMICS_ICL103_NS1_12hr_Protein_3_099,OMICS_ICL103_NS1_12hr_Protein_4_108,OMICS_ICL103_VN1203_12hr_Protein_1_112,OMICS_ICL103_VN1203_12hr_Protein_2_015,OMICS_ICL103_VN1203_12hr_Protein_3_114,OMICS_ICL103_VN1203_12hr_Protein_4_100,OMICS_ICL103_VN1203_12hr_Protein_5_065
YWHAB,28.160562385081295,28.36896365167262,28.400150209242568,28.503811511677107,28.46276482910797,28.40174140308113,28.329707791392376,28.403129470245382,28.75002462615571
YWHAE,25.82198496349204,25.816751275613164,26.312015401643798,26.01319501861896,26.62615925828304,26.20221996669163,26.698116485327834,26.196848415554435,26.85600850909735
YWHAH,26.510114139162948,26.58837150398269,26.58991342406351,26.109096968383614,26.555954569547524,26.516536866075835,26.462680771549422,26.146135338951705,26.66062771083018
YWHAG,24.54880558101518,25.530890839705666,24.35697177485268,23.97153158429888,24.50403632800525,25.354676482823038,23.84571344826464,24.79391451011725,24.420544378344548
SFN,28.632494111903338,28.775527925827504,28.75833982967587,28.51422398052234,28.640984693800625,28.469048928378985,28.397567162909485,28.411736198262588,28.479401840265655
YWHAQ,28.43103795283936,28.528976424578552,28.59181318549198,28.524367142337134,28.483690690330217,28.21489049393668,28.371999678422185,28.693074831822372,28.60066016588259
YWHAZ,28.37532651275592,28.61511251164823,28.508029634907928,28.56701877725272,28.410208085402616,28.311153772133586,28.394332381520485,28.456221073861336,28.591850931080938
PPP2R5D,22.757049959557968,21.812875149909477,21.267662592762647,21.476180367460913,21.437130568546856,22.526828806028917,21.297834600136117,21.67857978208442,20.573899407738974
PPP2R5E,22.600050347705526,22.921649671568893,21.349946463509767,20.81931948163509,21.512631649563847,24.50911351516692,20.08798787078346,21.731210777327245,20.820371629388966
PPP2R5C,22.439134672364702,21.812875149909477,21.267662592762647,21.476180367460913,21.415243632855898,22.75238194627483,21.39418426010855,21.438839986939872,21.60509586712307
PPP2R1A,23.11208783297961,22.377895889792516,23.018761856928812,22.626376225691914,23.13687687939748,23.620066938433254,22.98599450520028,23.00262386562789,23.244054480916276
PPP2R1B,23.565994794527253,22.502265682105627,23.058130056461692,22.556257792165525,23.05330720531855,23.218672691370834,22.128593714232586,22.790449122844322,22.693974480790644
PPP2R2A,21.70148138384439,22.115160205236705,20.93424143495891,21.047565444020904,20.8949823089713,21.54594233297292,20.258348183109458,20.912590964683634,21.13898699114828
PPP2R2B,21.82079239630505,22.963636320090078,20.93424143495891,21.066137305707638,21.042118262346182,21.86325671362735,20.15648104125706,21.16486778186868,21.23340629454406
HIBADH,21.353626103708997,21.52650780072787,20.761334358432478,20.547712229072403,20.897144761120394,21.533533269578065,20.24309622922121,21.117210519276696,20.805926543139048
MPG,19.3152537408721,18.87565232984889,20.716185720594847,20.363744735624895,20.514985960834874,20.150045384171456,19.98242083907619,21.4351467857248,19.966720035627333
