OMICS_ICL103_NS1_18hr_Protein_1_066,OMICS_ICL103_NS1_18hr_Protein_2_082,OMICS_ICL103_NS1_18hr_Protein_2_082.1,OMICS_ICL103_NS1_18hr_Protein_3_102,OMICS_ICL103_NS1_18hr_Protein_4_090,OMICS_ICL103_NS1_18hr_Protein_5_016,OMICS_ICL103_VN1203_18hr_Protein_1_111,OMICS_ICL103_VN1203_18hr_Protein_2_013,OMICS_ICL103_VN1203_18hr_Protein_3_038,OMICS_ICL103_VN1203_18hr_Protein_5_083
YWHAB,28.92381335433832,28.67176140561137,28.241976688305588,28.95321549771967,28.32886721227458,28.42547629117541,28.390666174818172,28.53124262349682,28.36802162044034,28.228680574740427
YWHAE,26.624011033241025,26.28776304872065,26.417368483448982,26.85819688053965,26.81982584596717,26.23983342108038,26.828850570698044,26.530747174365352,26.21051407941285,26.78021152680598
YWHAH,26.74925436336376,26.25923941757579,26.34299313895137,27.030241297773863,26.98011252759326,26.066188193722397,26.828850570698044,26.514767409701633,25.826683608478163,26.293893319352314
YWHAG,24.700515838377086,25.347515262460302,24.21918200131664,24.274214863684673,24.025095791682944,24.293769449078596,23.48866987630545,22.818938597788197,24.31132362317945,24.336101651725947
SFN,28.86612750368056,28.816213662176175,28.54967902577839,28.6387184145959,28.501773171955733,28.343959013085954,28.670733075921877,28.431365674132728,28.78495113546905,28.53870063925323
YWHAQ,29.09585754507506,28.681274765810173,28.41869917947954,28.6387184145959,28.475001553666978,28.223129816101014,28.737146899973418,28.56680879291305,28.70668109899711,28.365909839439063
YWHAZ,28.832910709920483,28.816521147683357,28.436569632638133,28.640050514581652,28.315494715634873,28.248622090426345,28.64724521545643,28.55415056064755,28.41545287507684,28.253019572291784
PPP2R5D,21.198980575517844,23.63977396176317,21.12397751972334,21.332545909418048,20.432022010057352,21.575073949689447,20.555417662250036,21.47133786939746,21.111325697059396,20.7068342733594
PPP2R1A,23.074581928759933,23.530712313432744,22.84036390245089,23.250627465482243,23.107767151989947,23.063448196429352,23.57668208239787,23.666241024128283,22.92184096621216,22.638287163076953
PPP2R1B,22.61068220100947,23.05955101477379,22.730282225720185,22.673817110172067,22.688939318911252,22.847799525775866,22.407137119082584,21.984329808009882,22.941899179394575,22.598904992826377
PPP2R2A,20.69065330145358,21.716250336620305,21.070003641940833,21.272535990338767,20.70263168474431,20.834354889584535,20.69916049198742,20.33980781434419,20.751478282108106,20.3562897259577
PPP2R2B,20.80553558138504,21.809372973367605,21.139980299384554,21.288852456235947,20.790355035110398,20.877320178668796,20.194857777576647,20.131077499551626,20.631980203899616,20.78067363233075
PPP2R2C,20.52253741506366,21.569894093414554,20.94679337803866,21.202985917983135,20.561674727919772,20.73815599404182,21.150229599939735,20.495304522678307,20.81774275385814,19.878672213126205
HIBADH,21.11022447628112,21.244986453591036,20.956738091366127,20.551105416354446,20.444223682485912,20.72979463213599,20.731958003557928,19.828213632157084,20.622965663796514,20.43532546317845
MPG,20.234394794463178,19.641473319301433,20.17572546066906,19.68662945791664,19.944701992217247,20.457328347765355,19.979664026479057,19.879184886502838,20.287646687612746,20.120322841378965
SLC3A2,24.054619557031074,24.651384016826107,24.154563554745266,23.979605722617368,24.028238963630095,23.952525249498326,24.329851863956574,24.687350702981163,24.070967934490852,24.222560148547437
