OMICS_ICL103_NS1_24hr_Protein_1_029,OMICS_ICL103_NS1_24hr_Protein_2_084,OMICS_ICL103_NS1_24hr_Protein_3_051,OMICS_ICL103_NS1_24hr_Protein_4_071,OMICS_ICL103_NS1_24hr_Protein_5_011,OMICS_ICL103_VN1203_24hr_Protein_1_117,OMICS_ICL103_VN1203_24hr_Protein_1_117.1,OMICS_ICL103_VN1203_24hr_Protein_2_095,OMICS_ICL103_VN1203_24hr_Protein_3_113
YWHAB,28.261546902097365,28.395644204075616,28.275745256416705,28.786181602398514,28.001924440480614,28.5564081151271,28.41823045654504,28.54416394508891,28.203063300491756
YWHAE,26.13239600061211,26.069876637441162,26.275696301325453,26.80465383698224,26.18769195823842,26.37265389847532,26.22099599956609,26.516800224440615,27.054443206676684
YWHAH,25.865010310017134,26.069876637441162,26.307196279777063,27.140382282573356,26.18769195823842,26.448360652775392,26.137836224137025,26.37570260800655,26.012315388380124
YWHAG,23.607375624406043,24.648109194705807,24.37823745600112,24.43635736511472,23.78477968156456,24.307649183347195,24.51780039905835,24.539718979827846,23.943936865594743
SFN,28.292724267698595,28.829255468815,28.166977566200224,28.25860222181419,28.53400285076416,28.388393107827802,28.317360215514825,28.512309047659926,28.474042580406433
YWHAQ,28.39934645266975,28.455660574814566,28.121743139708343,28.605250630234426,28.670186739854046,28.393434841113468,28.26724503496157,28.5096909217526,28.247967307706496
YWHAZ,28.494697843822955,28.49312165083778,28.138906495574084,28.483307626011808,28.561946280536436,28.341785400225724,28.586208909712454,28.479258718499782,28.331957731357996
PPP2R5D,22.035609687105556,21.334948374875268,21.27466977803096,21.20056329429352,21.057021555805253,21.44818179576963,21.625610580443116,21.212634667181923,20.620446666505593
PPP2R5E,20.22042634658133,20.971518700666547,21.031648683509008,20.835823650198943,21.057021555805253,21.53023534310728,21.280186401509514,21.404357636271612,19.021153004062853
PPP2R5C,22.287725210085604,21.77252601581643,21.098921441969978,21.20056329429352,21.057021555805253,21.44818179576963,21.52205545683069,21.089907902399325,20.620446666505593
PPP2R1A,23.384495456069107,23.12549110807931,23.500436972966668,23.079962589947392,22.566047727068945,23.9115903556207,23.442138425772033,22.56358357226938,23.71543000666964
PPP2R1B,23.16825916188811,23.04192143400038,22.9149261166957,22.690843820514917,22.59884338353305,22.784191490846602,23.177203361937188,23.1805666243971,21.678243652024957
PPP2R2A,20.320721097001773,21.275928436606442,21.43094430075681,21.469929793941127,20.24445509185542,21.21274896538594,20.77200028878007,20.847191178435754,20.93989042342338
PPP2R2B,20.320721097001773,20.985926628702902,21.083029193817843,21.579617539186653,20.13094709463392,21.190946012799817,20.75592690483745,21.305096631151414,20.350735999675
HIBADH,20.548895312025174,21.30266714466713,20.919819161097813,21.21818214253495,20.89380590961749,20.862801943787602,20.89451337921693,20.96395662602657,19.57505540542047
MPG,20.51634803813283,20.33400870626973,20.538478382015356,20.02338449356491,20.56697409293907,20.212165934859065,20.194762579098548,20.84242473959433,19.287300624310706
