OMICS_ICL103_NS1_3hr_Protein_1_059,OMICS_ICL103_NS1_3hr_Protein_2_044,OMICS_ICL103_NS1_3hr_Protein_3_014,OMICS_ICL103_NS1_3hr_Protein_4_033,OMICS_ICL103_NS1_3hr_Protein_5_081,OMICS_ICL103_VN1203_3hr_Protein_1_085,OMICS_ICL103_VN1203_3hr_Protein_2_058,OMICS_ICL103_VN1203_3hr_Protein_3_076,OMICS_ICL103_VN1203_3hr_Protein_4_087,OMICS_ICL103_VN1203_3hr_Protein_5_008
YWHAB,28.40694042664371,28.52990207293815,28.4359520621075,28.252094309907395,28.654787544906014,28.250196608626,28.061917112407844,28.418458674362086,28.31678260239876,28.318175330951483
YWHAE,26.50257480207572,26.676210017929748,26.48374449569109,26.395388165341714,26.71462549916662,26.295940856273067,26.291414980955214,26.128445403569685,25.8745190060105,26.284492481264326
YWHAH,26.681657282232653,26.714948701327362,26.47852761499904,26.139757891191685,26.434742218483734,26.295940856273067,26.156108985333482,26.13719596925599,25.96055678815347,26.202970431563404
YWHAG,24.024734202419783,24.283689979819954,24.13000007326296,24.019443288880165,24.191121765223986,24.44969696037283,23.95420763675993,24.181634408611856,24.00918857625844,24.266807415719455
SFN,28.0493120156399,28.345774033688823,28.277864506332154,28.32208835101197,28.46438422877023,28.005848506114326,28.02766608174187,28.09859759555642,28.546200328934844,28.410955240187455
YWHAQ,28.342260645959172,28.36019493425092,28.381055228701772,28.223711626755797,28.450240440700483,28.26766387567386,28.157936572886886,28.34877728546409,28.401343516389154,28.4875990149307
YWHAZ,28.364592400603243,28.345774033688823,28.364847782490862,28.319911906659797,28.53341331818524,28.250688292163716,28.226982526251792,28.3190845379695,28.44156405798467,28.378035531354822
PPP2R5D,20.860545839338844,20.96629597490881,20.543074080438227,21.55493036059171,21.37882376610721,21.745274375106753,21.602368030507286,21.581557731843944,21.456699062191376,21.80139798635667
PPP2R5E,20.289537577865445,20.63652242783125,20.15341295670099,21.26012152902158,20.69552683906231,21.345471292411375,21.602368030507286,21.692135741712057,21.577285247580043,21.50970132739833
PPP2R5C,21.234416258186833,21.17396234661823,20.538263513658954,21.120341749059058,21.411795793628087,21.579680564947623,21.32407993892397,21.60631322074707,21.04279816682807,21.80139798635667
PPP2R1A,22.926199219108568,22.594660666168842,22.519369127140365,22.536826573839203,23.01277161943918,23.033595045629575,22.905260028461647,22.915684288910295,23.032003491874274,22.833043753817517
PPP2R1B,22.518562883398022,22.60241795416747,22.591803388988943,22.988997707611432,23.080059821329726,23.303323277812673,22.829786766965142,22.89741585540792,22.94159988006075,22.62864996791731
PPP2R2A,20.981864364297344,20.336120832756535,21.023473027092372,21.13262990061279,21.195210460200588,21.286892343443327,20.991756762652763,21.046604410753496,21.047043038971296,20.800098312399065
PPP2R2B,20.771905008171476,20.791958538344904,21.00737736107528,21.028258896817597,21.261235026872043,21.044714388328394,20.796096397847624,21.027971498942993,21.100136804333115,20.73457170490875
PPP2R2C,21.138590113964757,19.827049520709718,20.986335086651003,21.18376729794953,21.075952287070677,21.475836692099808,21.13418352099945,21.01200371610554,20.940715667151025,20.81239131343093
HIBADH,20.03051270206843,20.619466302966664,20.793964829875723,20.899532236228403,20.5301044765384,20.81922619821668,20.62771391871755,20.49027997702754,20.95626707470955,20.484809623319013
MPG,18.56988501959671,19.900123923116553,20.271540697137826,20.52084639342107,19.591980566671882,20.497435696648434,19.97390658916666,20.04725103726858,20.57844971893525,20.18598412075224
