OMICS_ICL103_NS1_7hr_Protein_1_068,OMICS_ICL103_NS1_7hr_Protein_3_030,OMICS_ICL103_NS1_7hr_Protein_3_030.1,OMICS_ICL103_NS1_7hr_Protein_4_010,OMICS_ICL103_NS1_7hr_Protein_5_039,OMICS_ICL103_VN1203_7hr_Protein_1_055,OMICS_ICL103_VN1203_7hr_Protein_2_060,OMICS_ICL103_VN1203_7hr_Protein_4_004,OMICS_ICL103_VN1203_7hr_Protein_4_004.1,OMICS_ICL103_VN1203_7hr_Protein_5_075
YWHAB,28.199039058663608,28.596455158844165,28.466665136012175,28.28972682905342,28.077919460933884,28.375232812519833,28.34402469318868,28.486700619320338,28.69021141705051,28.73012405254634
YWHAE,26.975336881397574,27.192983290253355,27.401314390502122,26.846785944949,26.791634283660677,26.652217434561376,26.589695178496477,26.51110425635712,26.773514055309786,27.086770956644656
YWHAH,26.519297270938054,26.73602451018616,26.736027125189825,26.407331080622033,26.799233833991373,26.652217434561376,26.66798269778641,26.51906372277547,26.73521896926224,27.1770242856804
YWHAG,23.655619741625998,24.135416620145172,22.8647494358554,24.18150271635365,23.189514600257965,25.63080388875546,23.88563339901114,24.47892239300485,24.433230049323402,24.206362049128707
SFN,28.432104484408665,28.521509243897626,28.27669673945143,28.58251091888181,28.233467021954873,28.789941913687176,28.44118901663685,28.475106763390936,28.599628364635986,28.162942533248387
YWHAQ,28.36373419791507,28.458914749668494,28.521112212796538,28.61186693493686,28.457275900709117,28.357960159891846,28.270309784333573,28.741608043818175,28.494680430536654,28.40075647434184
YWHAZ,28.41508122331863,28.677361220528823,28.591105519029636,28.609306124152642,28.32964992485311,28.556205796917073,28.54635840385667,28.635811379283037,28.539908288118923,28.322960949769268
PPP2R5D,21.339446641665603,20.82235080499685,20.021919338908493,21.164902279991317,21.251944192142226,22.223489946492283,21.07239870405984,21.60099599982621,21.4595120139585,21.937548117512925
PPP2R5E,20.6313190904382,20.922485569312634,20.021919338908493,21.00284588873765,21.40669822829317,23.01510572370084,19.890194594470714,21.60099599982621,21.4595120139585,21.939861312166897
PPP2R5C,21.339446641665603,20.82235080499685,20.021919338908493,20.862564783299284,20.975508039736532,22.517132283749795,21.07239870405984,21.60099599982621,21.4595120139585,21.939861312166897
PPP2R1A,23.281422461254408,22.77913197351986,22.484177321890805,23.19739877123222,23.345954118973264,23.08947913247795,23.080916429401842,23.347028440725694,22.993682391626482,23.378980444559996
PPP2R1B,22.44430426729756,22.804868451273972,22.45283874359362,23.103438217318455,22.544465975042925,22.8083104433468,22.765689271811677,23.02867132433823,22.77610606018731,23.042760732146082
PPP2R2A,20.584735493636412,21.01630874908998,20.43398099065942,20.677111182273315,20.14969090885057,21.791931176361423,20.423641875596715,21.293073697125816,20.947643560379092,20.995725991722963
PPP2R2B,20.478349880046117,21.332415193375155,20.144385849881655,20.739645231984372,19.721218224285984,22.00995059584184,20.30669434488419,21.125221017680246,21.073155837543993,20.97737558809905
PPP2R2C,20.63788750076825,20.64696869834635,20.67034252497874,20.561343526103798,20.524929986956703,21.520678150422558,20.48735579985079,21.407692770112934,20.768897676755735,20.96084278888842
HIBADH,19.897811650787425,20.92056309415125,20.33743950018314,20.592598981541734,20.10378955690353,21.14724175133191,19.749421167078104,21.294759991639967,20.76383384968808,20.71889192239113
MPG,19.60723883984816,19.716176603190203,19.716167399301877,20.220555222631443,19.582265026403935,19.931402881890644,19.910367071581284,20.723198757676382,19.904085912338697,19.7191666509015
SLC3A2,23.95983199986481,24.114699811935484,23.67552447860205,23.960567832421198,23.976969951868668,24.186916255835882,24.123039981818096,24.308506966406753,24.319928539149373,23.920939514393023
PGD,20.585176864567238,20.59702236562103,19.561455116643238,19.76166291352693,21.47076205524786,19.603445099570855,19.821983792855427,20.046256541454774,20.033251169346833,20.364886401477598
PGLS,21.99756872126681,22.03942887613682,22.008781720525246,21.558096603717786,22.11914463933374,21.485257896854485,22.149862512473376,22.288633290420037,21.887947906950355,22.164220675956898
SLC1A5,23.285448899426125,23.690268947136083,23.937571251685828,24.63728054030824,23.87344608989546,24.36191095623745,24.317022599923042,24.586069997107,24.805102360368394,24.455064302687795
SERPINA3,22.3317221972675,22.59578820217963,22.43574604867407,21.29185812049324,21.260603314200125,23.2618739735983,22.878890518105273,22.898016171903855,22.338728536860444,21.733546465262314
PRKAA1,16.193897686943313,16.483387105697645,15.711159562273966,15.995715886196402,16.23738594791769,16.502114529549278,16.916487898641396,17.060376789333834,15.718074225719283,16.79828673486011
GOT1,19.07001615054184,19.30654728412134,18.908722779006556,18.653495039793892,18.822297389754738,18.261547787183073,19.086208325431663,19.09734351481064,18.86897923550849,18.560948697613
GOT2,24.200595503396823,24.888030166174595,24.538581864355592,24.520642946123413,23.67562707835568,24.76175692810502,24.41943385917364,24.6676557519293,24.488750384612253,24.255445391601537
ABCB7,25.570743260737803,24.92127436571222,24.6562926885576,25.639045732252182,24.731554253989778,25.179690321350094,25.121798117359685,25.776877726249722,25.371720418719914,25.530267104249397
ABCD3,20.26093292140536,20.554540007776716,20.16244678942663,21.3227033158481,20.60245249970913,22.512743513707193,20.03001891910783,20.99764695973778,20.845996202040745,21.299672541346755
ABCE1,22.798593583932764,23.06657112799848,23.128393509639253,22.936609564709205,22.845518061583725,23.228637407296212,22.86142807980672,22.82398708743166,22.671626398120587,23.112987914910338
ABCF1,20.57446516499443,21.148121008558075,21.527753620779535,21.087532900580698,20.965711817895546,22.369025132705758,20.7759667661678,20.64878909531091,21.056116431311715,20.94938814929666
