Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
KLF5	0	0	100	-100	T
ZEB1	0	100	0	100	T
EGR1	0	0	100	-100	T
TFAP2A	0	0	100	-100	T
USF2	0	0	100	-100	T
TFAP4	0	0	100	-100	T
GATA6	0	0	100	-100	T
TCF4	0	0	100	-100	T
KLF6	0	0	100	-100	T
HNF4A	0	100	0	100	T
TEAD1	0	0	100	-100	T
ETS1	0	0	100	-100	T
AHR	0	0	100	-100	T
RUNX2	0	0	100	-100	T
MYBL2	0	0	100	-100	T
ZEB2	0	100	0	100	T
TFDP1	0	100	0	100	T
FOXO3	0	100	0	100	T
MBD1	0	100	0	100	T
BCL3	0	0	100	-100	T
ESR1	0	0	100	-100	T
SP3	0	0	100	-100	T
ATF3	0	100	0	100	T
HBP1	0	100	0	100	T
MEF2A	0	0	100	-100	T
USF1	0	0	100	-100	T
SP1	0	0	100	-100	T
RELA	0	0	100	-100	T
E2F4	0	100	0	100	T
TCF7	0	0	100	-100	T
TEAD4	0	0	100	-100	T
GABPA	0	0	100	-100	T
KMT2A	0	0	100	-100	T
SP2	0	0	100	-100	T
STAT3	0	0	100	-100	T
MYOD1	0	100	0	100	T
NR4A1	0	0	100	-100	T
KLF13	0	100	0	100	T
LYL1	0	0	100	-100	T
TAF1	0	0	100	-100	T
GATA3	0	0	100	-100	T
FOXO1	0	100	0	100	T
TCF12	0	0	100	-100	T
NEUROD1	0	0	100	-100	T
ELF1	0	100	0	100	T
STAT2	0	100	0	100	T
PBX2	0	0	100	-100	T
YY1	0	0	100	-100	T
MAPK3	0	0	100	-100	I
MAPK1	0	100	0	100	I
ATR	0	0	100	-100	I
SMAD3	0	100	0	100	I
ATF2	0	100	0	100	I
PARP1	0	100	0	100	I
EP300	0	0	100	-100	I
CTNNB1	0	0	100	-100	I
MAPK11	0	100	0	100	I
MPG	0	100	0	100	I
YAP1	0	0	100	-100	I
PRKCD	0	0	100	-100	I
ERBB4	0	0	100	-100	I
MAP2K3	0	100	0	100	I
AREG	0	0	100	-100	I
PPP2CA	0	0	100	-100	I
RXRB	0	100	0	100	I
NR2F2	0	100	0	100	I
YWHAZ	0	100	0	100	I
PRPF4B	0	0	100	-100	I
AIP	0	0	100	-100	I
MED1	0	0	100	-100	I
SMARCD1	0	0	100	-100	I
CDKL5	0	0	100	-100	I
GLB1	0	0	100	-100	I
TIPRL	0	100	0	100	I
ZNF652	0	100	0	100	I
Perturbation	0	0	100	-100	S
