Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
SREBF1	0	0	100	-100	T
JUN	0	100	0	100	T
NR1H2	0	0	100	-100	T
AHR	0	0	100	-100	T
ZBTB7A	0	100	0	100	T
ETS1	0	0	100	-100	T
TP53	0	100	0	100	T
STAT3	0	0	100	-100	T
ZEB2	0	100	0	100	T
MYCN	0	0	100	-100	T
ARNT	0	0	100	-100	T
STAT1	0	0	100	-100	T
KLF5	0	0	100	-100	T
TEAD2	0	0	100	-100	T
EGR1	0	0	100	-100	T
TCF12	0	0	100	-100	T
NFATC1	0	0	100	-100	T
HNF1A	0	100	0	100	T
YY1	0	0	100	-100	T
KDM5B	0	0	100	-100	T
TEAD1	0	0	100	-100	T
MITF	0	0	100	-100	T
IRF4	0	0	100	-100	T
FOXK2	0	0	100	-100	T
FOXO1	0	100	0	100	T
NANOG	0	100	0	100	T
MYC	0	100	0	100	T
CREM	0	100	0	100	T
HNF1B	0	100	0	100	T
HNF4A	0	100	0	100	T
KLF13	0	100	0	100	T
HSF1	0	100	0	100	T
GATA2	0	100	0	100	T
KLF1	0	100	0	100	T
USF2	0	0	100	-100	T
SOX2	0	0	100	-100	T
SP3	0	0	100	-100	T
IKZF1	0	0	100	-100	T
HBP1	0	100	0	100	T
MAFK	0	0	100	-100	T
ZEB1	0	100	0	100	T
PRKACA	0	100	0	100	I
MAPK14	0	100	0	100	I
AKT1	0	0	100	-100	I
E2F1	0	0	100	-100	I
CDK1	0	0	100	-100	I
JAK1	0	0	100	-100	I
KAT2B	0	100	0	100	I
RPS6KB1	0	100	0	100	I
CAMKK1	0	100	0	100	I
RUNX1	0	0	100	-100	I
PARP1	0	100	0	100	I
EGF	0	0	100	-100	I
BRCA1	0	0	100	-100	I
EP300	0	0	100	-100	I
CSNK2A1	0	100	0	100	I
HDAC3	0	100	0	100	I
HDAC1	0	0	100	-100	I
YAP1	0	0	100	-100	I
SUMO1	0	0	100	-100	I
PRKCD	0	0	100	-100	I
ERBB4	0	0	100	-100	I
TRIM25	0	0	100	-100	I
RXRB	0	0	100	-100	I
NR2F2	0	100	0	100	I
NR4A1	0	100	0	100	I
PCBD1	0	100	0	100	I
PIK3CA	0	100	0	100	I
BLK	0	0	100	-100	I
CD44	0	100	0	100	I
ZNF652	0	100	0	100	I
NS1	0	100	0	100	S
