Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
SREBF1	0	0	100	-100	T
SREBF2	0	0	100	-100	T
MTA2	0	100	0	100	T
TFAP2A	0	0	100	-100	T
SP1	0	0	100	-100	T
NANOG	0	0	100	-100	T
SOX2	0	0	100	-100	T
HNF1B	0	0	100	-100	T
KLF5	0	0	100	-100	T
FOS	0	0	100	-100	T
TCF12	0	0	100	-100	T
RELA	0	0	100	-100	T
HNF4A	0	0	100	-100	T
AHR	0	0	100	-100	T
EGR1	0	0	100	-100	T
CREB3	0	100	0	100	T
USF2	0	0	100	-100	T
FOXO3	0	100	0	100	T
ELF3	0	0	100	-100	T
RBPJ	0	0	100	-100	T
KMT2A	0	0	100	-100	T
POU5F1	0	0	100	-100	T
HNF1A	0	0	100	-100	T
PBX3	0	0	100	-100	T
BACH1	0	0	100	-100	T
IRF4	0	0	100	-100	T
BCL3	0	0	100	-100	T
ATF7	0	100	0	100	T
HSF1	0	0	100	-100	T
HIF1A	0	0	100	-100	T
ATF3	0	100	0	100	T
HMBOX1	0	0	100	-100	T
NFYB	0	0	100	-100	T
NR4A1	0	0	100	-100	T
USF1	0	0	100	-100	T
LYL1	0	0	100	-100	T
TCF4	0	0	100	-100	T
GABPA	0	100	0	100	T
STAT1	0	0	100	-100	T
ESR1	0	0	100	-100	T
SP3	0	0	100	-100	T
TEAD2	0	100	0	100	T
MEIS2	0	100	0	100	T
POU2F2	0	100	0	100	T
SSRP1	0	0	100	-100	T
YY1	0	0	100	-100	T
MAPK3	0	0	100	-100	I
MAPK1	0	100	0	100	I
PRKDC	0	0	100	-100	I
PAK1	0	0	100	-100	I
ATF2	0	100	0	100	I
ANO9	0	0	100	-100	I
CAMKK1	0	0	100	-100	I
YWHAQ	0	0	100	-100	I
CREBBP	0	0	100	-100	I
BRCA1	0	0	100	-100	I
RB1	0	0	100	-100	I
CSNK1A1	0	0	100	-100	I
IL4	0	0	100	-100	I
CDC42	0	0	100	-100	I
YAP1	0	100	0	100	I
ERBB4	0	0	100	-100	I
RXRB	0	100	0	100	I
NR2F2	0	100	0	100	I
NRG2	0	100	0	100	I
HOXB8	0	0	100	-100	I
PCBD1	0	0	100	-100	I
POU2AF1	0	100	0	100	I
APH1B	0	0	100	-100	I
BMP1	0	0	100	-100	I
PAX7	0	0	100	-100	I
PBX1	0	100	0	100	I
CCNE1	0	0	100	-100	I
NOS2	0	100	0	100	I
AIP	0	0	100	-100	I
PCOLCE	0	0	100	-100	I
PROX1	0	100	0	100	I
PTP4A1	0	0	100	-100	I
PRKACA_PRKACB_PRKACG	0	100	0	100	I
DZIP3	0	100	0	100	I
HSBP1	0	100	0	100	I
FBXO22	0	100	0	100	I
CDC42SE1	0	100	0	100	I
ZNF652	0	100	0	100	I
Perturbation	0	0	100	-100	S
