Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
PAX5	0	100	0	100	T
MTA1	0	100	0	100	T
CUX1	0	100	0	100	T
MYBL2	0	0	100	-100	T
NFE2L1	0	100	0	100	T
SP1	0	0	100	-100	T
NONO	0	100	0	100	T
MEF2B	0	100	0	100	T
ARNT	0	100	0	100	T
OTX2	0	100	0	100	T
AHR	0	100	0	100	T
GABPA	0	100	0	100	T
E2F4	0	100	0	100	T
FOS	0	0	100	-100	T
NRF1	0	100	0	100	T
TEAD2	0	100	0	100	T
NANOG	0	0	100	-100	T
CREB3	0	100	0	100	T
NR2F1	0	0	100	-100	T
MYOD1	0	0	100	-100	T
ONECUT1	0	100	0	100	T
RUNX2	0	100	0	100	T
ELF3	0	100	0	100	T
MXI1	0	0	100	-100	T
STAT1	0	0	100	-100	T
USF1	0	0	100	-100	T
TCF12	0	100	0	100	T
GATA6	0	100	0	100	T
TEAD4	0	100	0	100	T
IRF3	0	0	100	-100	T
ETS1	0	100	0	100	T
BCL3	0	0	100	-100	T
TAF1	0	100	0	100	T
BCL6	0	0	100	-100	T
E2F1	0	100	0	100	T
BCL11A	0	100	0	100	T
ATF3	0	100	0	100	T
PRKACA	0	100	0	100	I
MAPK14	0	100	0	100	I
MAPK3	0	100	0	100	I
AKT1	0	100	0	100	I
PAK1	0	100	0	100	I
CDK1	0	0	100	-100	I
ATF2	0	100	0	100	I
SFPQ	0	100	0	100	I
GSK3B	0	0	100	-100	I
RB1	0	0	100	-100	I
CEBPB	0	100	0	100	I
STAT6	0	100	0	100	I
YAP1	0	100	0	100	I
CEBPA	0	0	100	-100	I
NR0B2	0	0	100	-100	I
NR4A1	0	0	100	-100	I
YWHAH	50	0	50	-50	I
DYRK1B	0	0	100	-100	I
IRF9	0	100	0	100	I
YWHAG	50	0	50	-50	I
PIK3CA	0	100	0	100	I
HAS2	50	0	50	-50	I
CD44	0	0	100	-100	I
MED1	0	100	0	100	I
FOXA2	0	0	100	-100	I
SREBF1	0	0	100	-100	I
TIMP1	50	0	50	-50	I
CBFA2T3	0	100	0	100	I
PRDM1	0	0	100	-100	I
ZNF652	0	0	100	-100	I
NS1	0	100	0	100	S
