"","stat"
"AAAS",0.293283544607685
"AARS1",-0.524443219238118
"AARS2",0.0122614952498805
"AARSD1",-0.27460425436531
"AASDHPPT",-0.869942158298927
"ABCA1",1.51268040677913
"ABCB7",-0.0154813617209699
"ABCC1",0.621267512124487
"ABCC10",0.454929879239667
"ABCD3",1.49229024358775
"ABCD4",0.679819742038627
"ABCE1",0.631324621713811
"ABCF1",1.75153087781972
"ABHD11",-1.27616646517685
"ABHD14B",-3.66999041027026
"ABI1",-2.80314401383496
"ABRACL",-0.829371906344584
"ACAA1",1.10635053412413
"ACAA2",-0.747039570223149
"ACACA",-0.360061385976687
"ACACB",0.9162992461507
"ACAD8",2.23182816186025
"ACAD9",1.50860697070877
"ACADM",1.33200474165346
"ACADS",0.89500236553124
"ACADVL",-0.0695684527016902
"ACAP2",-0.137321811796677
"ACAT1",1.29472073617376
"ACAT2",-1.28405991079014
"ACBD7",-0.0545708567737327
"ACIN1",-1.25746755378689
"ACLY",-1.52019001204261
"ACO1",0.115385171580322
"ACO2",1.20591119162756
"ACOT1",-0.756830891024766
"ACOT13",0.333114478926352
"ACOT2",-0.108894410319245
"ACOT7",-1.61642250624501
"ACOT9",2.31851286937332
"ACP1",0.707114655700348
"ACP2",-0.594697433876839
"ACP6",1.54163179227493
"ACSF2",-0.703658395759942
"ACSL1",-0.621240541781343
"ACSL3",0.884713421293246
"ACSL4",-0.217362596924866
"ACSS2",-3.66384009783968
"ACTA1",0.115824233735833
"ACTA2",0.115824233735833
"ACTB",0.699324965820272
"ACTBL2",-0.16330166856291
"ACTC1",0.115824233735833
"ACTG1",0.699324965820272
"ACTG2",0.115824233735833
"ACTL6A",-1.1902844432172
"ACTL6B",-0.0234863290905408
"ACTN1",1.48348163603629
"ACTN2",0.33407039081566
"ACTN3",1.91816297632355
"ACTN4",0.787694773155841
"ACTR10",-0.278207468919622
"ACTR1A",1.24913935804953
"ACTR1B",1.43927990692232
"ACTR2",0.897676070660705
"ACTR3",0.858452988344552
"ACTR3B",1.59452369986816
"ACTR5",0.681964690726383
"ACY1",-1.18999887497122
"ADAM10",-0.938139363294922
"ADAM9",-0.67905054610143
"ADAR",0.924088581113201
"ADH5",-3.73892646652242
"ADK",-2.06571002561973
"ADPGK",0.846996299287942
"ADRM1",0.0419375512118933
"ADSL",0.0958640704468017
"ADSS2",-1.58501224399772
"AFDN",-0.689474496511869
"AFG3L2",1.08944970233357
"AGK",0.428320011041411
"AGL",-0.0173928773975185
"AGPAT2",1.1750361231119
"AGPS",0.74952624977803
"AGR2",1.38408623813367
"AHCY",0.239026017134642
"AHCYL1",-1.92950825690558
"AHCYL2",-1.90386947052613
"AHNAK",0.00944331826438797
"AHSA1",0.19295274465638
"AIFM1",0.297459640975548
"AIMP1",0.602019328506797
"AIMP2",1.80522694778986
"AIP",-0.857652277291864
"AK1",0.300086274109858
"AK2",-4.45184251312366
"AK3",-1.5450065343261
"AK4",-0.555602077435879
"AK6",-3.10103539479332
"AKAP1",0.159290267400431
"AKAP12",-4.14569308566258
"AKAP8",0.0568631743948055
"AKR1A1",-2.66038829065433
"AKR1B1",-4.16782663999023
"AKR1B10",-1.84937500598578
"AKR1C1",-2.16829077664015
"AKR1C2",-2.26049093883638
"AKR1C3",-3.1308164420406
"AKR1C4",-2.06138935278904
"AKR7A2",-0.815319734268678
"ALB",-1.26709899085163
"ALCAM",-0.505968220191128
"ALDH16A1",-0.335844964794636
"ALDH18A1",-0.779969271842852
"ALDH1A2",-0.033373721370368
"ALDH1A3",-1.14900825762948
"ALDH1B1",0.923387575115903
"ALDH2",-0.457078923613789
"ALDH3A2",0.329836377789341
"ALDH3B1",0.329836377789341
"ALDH3B2",0.329836377789341
"ALDH4A1",0.329836377789341
"ALDH5A1",0.892764403391338
"ALDH7A1",-1.18428266378385
"ALDH9A1",-3.06024797488672
"ALDOA",-1.18467834212824
"ALDOB",0.877646026199588
"ALDOC",0.188604361554254
"ALG5",-0.0764141315067054
"ALYREF",1.59219547479084
"ANAPC7",-0.305541860072115
"ANKHD1",-1.42231679690364
"ANKLE2",-0.576198191576586
"ANKRD26",3.72005032978396
"ANKRD36",0.859486544838689
"ANLN",-0.247649839920831
