Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
SREBF1	0	0	100	-100	T
SREBF2	0	0	100	-100	T
MTA2	0	100	0	100	T
TFAP2A	0	0	100	-100	T
SP1	0	0	100	-100	T
NANOG	0	0	100	-100	T
SOX2	0	0	100	-100	T
HNF1B	0	0	100	-100	T
KLF5	0	0	100	-100	T
PPARA	0	0	100	-100	T
FOS	0	0	100	-100	T
TCF12	0	0	100	-100	T
RELA	0	0	100	-100	T
HNF4A	0	0	100	-100	T
AHR	0	0	100	-100	T
EGR1	0	0	100	-100	T
CREB3	0	100	0	100	T
USF2	0	0	100	-100	T
FOXO3	0	100	0	100	T
ELF3	0	0	100	-100	T
RBPJ	0	0	100	-100	T
KMT2A	0	0	100	-100	T
POU5F1	0	0	100	-100	T
RUNX2	0	0	100	-100	T
CREB1	0	0	100	-100	T
HNF1A	0	0	100	-100	T
PBX3	0	0	100	-100	T
BACH1	0	0	100	-100	T
IRF4	0	0	100	-100	T
BCL3	0	0	100	-100	T
ATF7	0	100	0	100	T
HSF1	0	0	100	-100	T
HIF1A	0	0	100	-100	T
ATF3	0	100	0	100	T
HMBOX1	0	0	100	-100	T
NFYB	0	0	100	-100	T
NR4A1	0	0	100	-100	T
USF1	0	0	100	-100	T
LYL1	0	0	100	-100	T
TCF4	0	0	100	-100	T
GABPA	0	100	0	100	T
STAT1	0	0	100	-100	T
ESR1	0	0	100	-100	T
SP3	0	0	100	-100	T
TEAD2	0	100	0	100	T
MEIS2	0	100	0	100	T
POU2F2	0	100	0	100	T
SSRP1	0	0	100	-100	T
YY1	0	0	100	-100	T
MAPK1	0	100	0	100	I
AKT1	0	0	100	-100	I
PAK1	0	0	100	-100	I
MAP3K7	50	50	0	50	I
JAK1	0	0	100	-100	I
ATF2	0	100	0	100	I
CREBBP	0	0	100	-100	I
MAPK8	0	100	0	100	I
RB1	0	0	100	-100	I
CTNNB1	50	0	50	-50	I
MAPK11	0	0	100	-100	I
YAP1	0	100	0	100	I
ERBB4	0	0	100	-100	I
PDGFC	0	0	100	-100	I
RXRB	0	100	0	100	I
NR2F2	0	100	0	100	I
DUSP9	0	100	0	100	I
DUSP19	50	50	0	50	I
NLK	50	50	0	50	I
NRIP1	50	50	0	50	I
HOXB8	0	0	100	-100	I
PCBD1	0	0	100	-100	I
AAK1	0	0	100	-100	I
STK17A	0	0	100	-100	I
POU2AF1	0	100	0	100	I
BMP1	0	0	100	-100	I
MBTPS2	0	0	100	-100	I
PAX7	0	0	100	-100	I
PBX1	0	0	100	-100	I
PPARGC1A	50	0	50	-50	I
PCOLCE	0	0	100	-100	I
PRKACA_PRKACB_PRKACG	0	100	0	100	I
DZIP3	0	100	0	100	I
FBXO22	0	100	0	100	I
ZNF652	0	100	0	100	I
Perturbation	0	100	0	100	S
