Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
PAX5	0	100	0	100	T
MTA1	0	100	0	100	T
CUX1	0	100	0	100	T
CEBPG	0	0	100	-100	T
MYBL2	0	0	100	-100	T
NFE2L1	0	100	0	100	T
SP1	0	0	100	-100	T
NONO	0	100	0	100	T
MEF2B	0	100	0	100	T
ARNT	0	100	0	100	T
OTX2	0	100	0	100	T
AHR	0	100	0	100	T
SP4	0	100	0	100	T
GABPA	0	100	0	100	T
E2F4	0	100	0	100	T
FOS	0	0	100	-100	T
LYL1	0	0	100	-100	T
NRF1	0	100	0	100	T
TEAD2	0	100	0	100	T
NANOG	0	0	100	-100	T
CREB3	0	100	0	100	T
NR2F1	0	0	100	-100	T
MYOD1	0	0	100	-100	T
ONECUT1	0	100	0	100	T
RUNX2	0	100	0	100	T
MBD1	0	0	100	-100	T
SSRP1	0	100	0	100	T
ELF3	0	100	0	100	T
E2F6	0	0	100	-100	T
MXI1	0	0	100	-100	T
STAT1	0	0	100	-100	T
USF1	0	0	100	-100	T
TCF12	0	100	0	100	T
GATA6	0	100	0	100	T
TEAD4	0	100	0	100	T
MEIS2	0	0	100	-100	T
BACH2	0	100	0	100	T
IRF3	0	0	100	-100	T
ETS1	0	100	0	100	T
BCL3	0	0	100	-100	T
TAF1	0	100	0	100	T
MEIS1	0	0	100	-100	T
BCL6	0	0	100	-100	T
EBF1	0	100	0	100	T
E2F1	0	100	0	100	T
SP2	0	0	100	-100	T
BCL11A	0	100	0	100	T
ATF3	0	100	0	100	T
CDK5	0	0	100	-100	I
MAPK14	0	0	100	-100	I
MAPK1	0	100	0	100	I
AKT1	0	100	0	100	I
PAK1	0	100	0	100	I
CDK1	0	0	100	-100	I
SFPQ	0	100	0	100	I
GSK3B	0	0	100	-100	I
MPG	0	0	100	-100	I
YAP1	0	100	0	100	I
ERBB4	0	100	0	100	I
RAC1	0	0	100	-100	I
NR4A1	0	0	100	-100	I
AKT3	0	100	0	100	I
ADCYAP1	0	100	0	100	I
PRKAB1	0	100	0	100	I
ADAM17	0	100	0	100	I
CEBPE	0	0	100	-100	I
HMGB1	0	0	100	-100	I
HOXD9	0	0	100	-100	I
COL6A3	0	0	100	-100	I
ETV3	0	100	0	100	I
CD44	0	0	100	-100	I
MED1	0	100	0	100	I
SMARCD1	0	100	0	100	I
NEK4	0	100	0	100	I
DZIP3	0	0	100	-100	I
ZNF521	0	0	100	-100	I
CTNNA2	0	0	100	-100	I
MUL1	0	0	100	-100	I
DMBX1	0	0	100	-100	I
PRDM1	0	0	100	-100	I
ZNF652	0	0	100	-100	I
Perturbation	0	100	0	100	S
