Node	ZeroAct	UpAct	DownAct	AvgAct	NodeType
PPARA	0	0	100	-100	T
ATF6	0	100	0	100	T
TEAD4	0	0	100	-100	T
JUN	0	0	100	-100	T
KLF1	0	0	100	-100	T
HSF1	0	0	100	-100	T
MEF2C	0	0	100	-100	T
HNF1B	0	0	100	-100	T
CUX1	0	0	100	-100	T
TP73	0	100	0	100	T
ELF1	0	0	100	-100	T
PAX5	0	100	0	100	T
CREB1	0	0	100	-100	T
PBX2	0	100	0	100	T
USF1	0	0	100	-100	T
TCF12	0	0	100	-100	T
EGR1	0	100	0	100	T
CREM	0	100	0	100	T
MYOD1	0	0	100	-100	T
ZBTB7A	0	100	0	100	T
SP1	0	0	100	-100	T
FOXK2	0	100	0	100	T
ATF7	0	100	0	100	T
SSRP1	0	100	0	100	T
STAT2	0	100	0	100	T
TAF1	0	100	0	100	T
MEIS1	0	0	100	-100	T
NANOG	0	0	100	-100	T
YY1	0	0	100	-100	T
HIF1A	0	0	100	-100	T
RBPJ	0	0	100	-100	T
GATA6	0	0	100	-100	T
MTA1	0	0	100	-100	T
NR4A1	0	0	100	-100	T
PROX1	0	100	0	100	T
IRF2	0	0	100	-100	T
POU2F2	0	0	100	-100	T
TEAD2	0	0	100	-100	T
MEF2A	0	0	100	-100	T
PRKACA	0	0	100	-100	I
MAPK14	0	0	100	-100	I
CASP3	0	0	100	-100	I
E2F1	0	100	0	100	I
ELAVL1	0	100	0	100	I
STAT1	0	0	100	-100	I
CDK1	0	100	0	100	I
CAMKK1	0	0	100	-100	I
MAPK8	0	100	0	100	I
CSNK2A1	0	0	100	-100	I
NFKB1	0	0	100	-100	I
GSK3A	0	100	0	100	I
CASP9	0	0	100	-100	I
HDAC1	0	100	0	100	I
MAPK11	0	0	100	-100	I
YAP1	0	0	100	-100	I
PIAS1	0	0	100	-100	I
PPP2CA	0	100	0	100	I
CAMK2A	0	100	0	100	I
YWHAH	0	100	0	100	I
PPP2R1A	0	100	0	100	I
PRKACB	0	0	100	-100	I
PCBD1	0	0	100	-100	I
HMGB1	0	0	100	-100	I
HOXD9	0	0	100	-100	I
CIITA	0	100	0	100	I
PIK3CA	0	100	0	100	I
CD44	0	0	100	-100	I
TRIB3	0	100	0	100	I
PRKAR1A	0	100	0	100	I
DFFB	0	0	100	-100	I
CEACAM1	0	100	0	100	I
FASN	0	100	0	100	I
CBFA2T3	0	0	100	-100	I
PRDM1	0	0	100	-100	I
ZNF652	0	100	0	100	I
NS1	0	100	0	100	S
