,ProbeID,GeneName,Approved symbol,GeneSymbol,Description,RefSeq,EntrezID
6,A_23_P157316,chromosome 7 open reading frame 34,LLCFC1,C7orf34,"Homo sapiens chromosome 7 open reading frame 34 (C7orf34), mRNA [NM_178829]",NM_178829,135927.0
43,A_23_P144264,translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae),TOMM70,TOMM70A,"Homo sapiens translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae) (TOMM70A), mRNA [NM_014820]",NM_014820,9868.0
55,A_24_P630490,"deafness, autosomal recessive 59",PJVK,DFNB59,"Homo sapiens deafness, autosomal recessive 59 (DFNB59), mRNA [NM_001042702]",NM_001042702,494513.0
100,A_33_P3315314,metallothionein 1H-like 1,MT1H,MT1HL1,"Homo sapiens metallothionein 1H-like 1 (MT1HL1), mRNA [NM_001276687]",NM_005951,645745.0
115,A_33_P3578394,uncharacterized LOC284578,MFSD4A-AS1,LOC284578,"Homo sapiens uncharacterized LOC284578 (LOC284578), long non-coding RNA [NR_027086]",NR_027086,284578.0
175,A_23_P110492,"membrane-associated ring finger (C3HC4) 6, E3 ubiquitin protein ligase",MARCHF6,2015-03-06 00:00:00,"Homo sapiens membrane-associated ring finger (C3HC4) 6, E3 ubiquitin protein ligase (MARCH6), transcript variant 1, mRNA [NM_005885]",NM_005885,10299.0
198,A_23_P409516,family with sequence similarity 122A,PABIR1,FAM122A,"Homo sapiens family with sequence similarity 122A (FAM122A), mRNA [NM_138333]",NM_138333,116224.0
209,A_33_P3349036,uncharacterized LOC100133612,LINC01134,LOC100133612,"Homo sapiens uncharacterized LOC100133612 (LOC100133612), long non-coding RNA [NR_024455]",NR_024455,
270,A_33_P3405459,chromosome 20 open reading frame 195,FNDC11,C20orf195,"Homo sapiens chromosome 20 open reading frame 195 (C20orf195), mRNA [NM_024059]",NM_024059,79025.0
359,A_24_P393470,MEF2B neighbor,BORCS8,MEF2BNB,"Homo sapiens MEF2B neighbor (MEF2BNB), transcript variant 2, mRNA [NM_001145783]",NM_001145783,729991.0
392,A_23_P416314,"HRAS-like suppressor family, member 5",PLAAT5,HRASLS5,"Homo sapiens HRAS-like suppressor family, member 5 (HRASLS5), transcript variant 1, mRNA [NM_054108]",NM_054108,117245.0
24111,A_23_P53018,"HRAS-like suppressor family, member 5",PLAAT5,HRASLS5,"Homo sapiens HRAS-like suppressor family, member 5 (HRASLS5), transcript variant 1, mRNA [NM_054108]",NM_054108,117245.0
408,A_24_P86868,methyltransferase like 10,EEF1AKMT2,METTL10,"Homo sapiens methyltransferase like 10 (METTL10), mRNA [NM_212554]",NM_212554,399818.0
11056,A_33_P3332066,methyltransferase like 10,EEF1AKMT2,METTL10,"Homo sapiens methyltransferase like 10 (METTL10), mRNA [NM_212554]",NM_212554,399818.0
19362,A_33_P3367087,methyltransferase like 10,EEF1AKMT2,METTL10,"Homo sapiens methyltransferase like 10 (METTL10), mRNA [NM_212554]",NM_212554,399818.0
478,A_24_P729905,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 7",AGAP7P,AGAP7,"Homo sapiens ArfGAP with GTPase domain, ankyrin repeat and PH domain 7 (AGAP7), mRNA [NM_001077685]",NM_001077685,653268.0
9777,A_32_P221958,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 7",AGAP7P,AGAP7,"Homo sapiens ArfGAP with GTPase domain, ankyrin repeat and PH domain 7 (AGAP7), mRNA [NM_001077685]",NM_001077685,653268.0
10254,A_32_P41526,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 7",AGAP7P,AGAP7,"Homo sapiens ArfGAP with GTPase domain, ankyrin repeat and PH domain 7 (AGAP7), mRNA [NM_001077685]",NM_001077685,653268.0
32367,A_32_P230196,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 7",AGAP7P,AGAP7,"Homo sapiens ArfGAP with GTPase domain, ankyrin repeat and PH domain 7 (AGAP7), mRNA [NM_001077685]",NM_001077685,653268.0
482,A_33_P3377005,chromosome 11 open reading frame 35,LMNTD2,C11orf35,"Homo sapiens chromosome 11 open reading frame 35 (C11orf35), mRNA [NM_173573]",NM_173573,256329.0
